id,CustomerDimension,MarketDimension
10051271,8,6
10051315,5,7
10051373,6,7
10051502,7,4
10051549,5,5
10052077,6,6
10052164,7,4
10052261,5,7
10053333,4,6
10053347,4,6
10053632,6,6
10053733,4,7
10053829,8,7
10054050,4,5
10054081,5,8
10054217,7,7
10055027,5,7
10055120,6,6
10057696,5,8
10057840,8,7
10057853,6,7
10058074,7,4
10058095,7,4
10058635,7,6
10058874,7,8
10059092,6,8
10059136,8,5
10059382,5,7
10059704,7,5
10060236,6,4
10060267,5,6
10060483,8,7
10060496,4,6
10060660,5,8
10060663,6,5
10061037,4,7
10061041,7,7
10061499,6,7
10061511,7,7
10061569,5,5
10062315,4,7
10062525,5,7
10063187,5,8
10063214,7,5
10063350,6,6
10063864,7,6
10064118,4,4
10064168,7,4
10064237,6,6
10064357,5,7
10065370,6,8
10067369,5,6
10067720,6,6
10068357,8,6
10068374,7,6
10068876,4,5
10069231,6,8
10070187,6,7
10070407,5,5
10070628,6,7
10070819,4,6
10071160,7,5
10071880,7,8
10072882,7,7
10075139,7,6
10075443,5,7
10076124,8,8
10076342,5,7
10076438,5,7
10076735,5,6
10076984,6,7
10077226,6,5
10077948,5,5
10078196,5,7
10079107,8,7
10079297,8,8
10079306,7,7
10079815,5,5
10080385,6,5
10080812,6,5
10081753,6,5
10082191,5,7
10082243,6,8
10082532,8,7
10082600,4,6
10083408,7,5
10083694,7,8
10084265,5,7
10084462,8,7
10084571,6,5
10085276,6,5
10085368,5,4
10085495,5,5
10085699,6,5
10085747,5,6
10085924,5,7
10085993,7,8
10086017,6,5
10086049,6,5
10086098,7,4
10086920,6,6
10087485,8,8
10087744,7,6
10087746,8,8
10088190,6,7
10088433,6,7
10088696,7,6
10089023,5,5
10089134,7,6
10089616,6,7
10089943,5,8
10090103,7,7
10091005,5,5
10091238,6,5
10092282,7,6
10092403,4,6
10092471,4,5
10092878,7,6
10093222,5,4
10093246,5,7
10093937,5,8
10094519,6,5
10094574,6,8
10094916,6,6
10097014,8,7
10097308,5,6
10098051,4,4
10098245,6,6
10098487,7,6
10098488,4,5
10098601,5,8
10098940,6,5
10099880,5,7
10100096,5,5
10100341,6,5
10101570,6,6
10101735,8,6
10102520,6,7
10102521,7,6
10104559,6,7
10104644,7,6
10105383,5,7
10105994,8,5
10106752,5,5
10107315,7,6
10107430,4,5
10107955,6,5
10108059,4,7
10108089,7,5
10108754,5,7
10109570,6,4
10110048,5,4
10110125,6,6
10110365,7,7
10110536,5,5
10110587,5,7
10110872,6,7
10112523,8,6
10112646,5,7
10113661,4,5
10113665,5,6
10113819,8,6
10113835,7,8
10114516,8,8
10114603,4,5
10114697,6,5
10115595,8,7
10115607,6,7
10115933,4,4
10116161,7,8
10116333,4,6
10116356,6,6
10117338,7,5
10117791,8,6
10117882,4,5
10117885,5,6
10118121,6,6
10118309,8,6
10118686,5,6
10119148,7,5
10120038,5,6
10120177,4,5
10120178,5,7
10120269,4,6
10120515,6,6
10121662,5,4
10121733,5,7
10121924,6,7
10122863,6,7
10123426,8,8
10123723,5,7
10124681,7,6
10125245,5,7
10125327,4,7
10125723,6,5
10126657,7,6
10126749,4,7
10128105,5,8
10128808,5,5
10128912,6,8
10130594,7,7
10130914,6,5
10130954,6,5
10130995,5,5
10131712,7,6
10132010,4,5
10133005,7,4
10133461,8,6
10135068,7,7
10135091,5,7
10135650,6,7
10135656,5,6
10136254,8,5
10136767,7,6
10137847,7,8
10138328,6,7
10138828,8,5
10139144,7,7
10139679,7,5
10140467,8,7
10140905,7,5
10141379,4,5
10141749,6,6
10141904,4,6
10142695,6,6
10142999,7,7
10143351,6,7
10143558,7,7
10144281,5,5
10144324,7,6
10144491,6,6
10144668,6,6
10145846,7,5
10146402,4,7
10146689,7,7
10146778,8,6
10147100,7,6
10147419,7,7
10147446,8,6
10148394,4,6
10149139,5,5
10149476,6,6
10149728,6,6
10150202,7,8
10150442,6,5
10150592,6,5
10150946,6,6
10150966,8,7
10151261,7,4
10151367,7,8
10151491,5,5
10151575,8,7
10152168,7,7
10152682,5,5
10152874,5,6
10153444,6,5
10154313,7,6
10154574,5,5
10155093,5,4
10155097,5,8
10155367,8,8
10155743,8,5
10155765,8,8
10155946,7,6
10155966,8,8
10157341,4,7
10157359,7,6
10157446,5,6
10157819,5,7
10158015,5,5
10158267,7,7
10158966,5,7
10159388,5,6
10160685,5,6
10161135,7,6
10161403,8,7
10163862,7,6
10163950,6,5
10164221,4,7
10164897,4,7
10165078,6,7
10165340,5,8
10165578,8,8
10165602,5,6
10165837,8,6
10166237,6,6
10166398,7,7
10166464,6,7
10166839,7,6
10167963,6,6
10168392,5,5
10168450,4,4
10169423,8,8
10169860,6,6
10170294,8,8
10171083,7,6
10171284,4,7
10171708,5,7
10171817,8,7
10171891,5,7
10171973,4,7
10171997,8,8
10172028,5,6
10172058,5,7
10172233,7,7
10172561,7,7
10173114,8,8
10173445,6,6
10173808,6,6
10174878,5,6
10174975,6,7
10175720,7,5
10176112,5,8
10176636,5,8
10176990,7,6
10177979,4,6
10178184,6,7
10178222,5,8
10178712,7,4
10179144,7,7
10179744,5,5
10179810,6,6
10180516,7,8
10181191,7,7
10181455,7,6
10181598,7,6
10181778,8,6
10182240,7,7
10182496,5,8
10183969,7,6
10184547,5,5
10184668,8,6
10184722,4,5
10185117,4,6
10185132,8,7
10185225,8,7
10185421,4,5
10185505,6,6
10186621,6,5
10187049,4,6
10187852,4,7
10188185,5,5
10188233,4,7
10188964,6,7
10189524,7,5
10189534,7,6
10189896,4,6
10189963,7,5
10190774,7,4
10191296,7,5
10191525,6,5
10191600,7,6
10192298,7,6
10193259,7,5
10193414,6,4
10193623,7,5
10194616,6,5
10194712,5,5
10195056,7,5
10195105,7,6
10195298,6,7
10195332,7,5
10195437,7,5
10195524,7,7
10196028,7,6
10196436,4,5
10197895,7,6
10199262,4,5
10199615,4,4
10199679,8,5
10200632,5,5
10200658,4,6
10201066,5,5
10201200,7,5
10201554,5,8
10202126,4,7
10202569,7,7
10203631,6,7
10203684,8,7
10203867,4,6
10204361,6,8
10204969,7,7
10205425,7,4
10206784,6,6
10206892,7,5
10208405,8,6
10209798,7,6
10210167,5,7
10210294,4,5
10211292,7,8
10212739,5,5
10212753,7,5
10213272,5,7
10213488,8,6
10214634,5,4
10214999,5,5
10215391,4,7
10216297,7,4
10216483,8,6
10216661,8,6
10216923,7,7
10217597,6,6
10218028,7,6
10219055,5,8
10219293,5,6
10220171,4,5
10220240,6,4
10221101,6,6
10221733,7,5
10221879,6,5
10222119,6,7
10222166,6,6
10223114,5,5
10224929,8,7
10225073,8,8
10225688,6,8
10225716,7,7
10225761,6,5
10226808,4,6
10227733,8,5
10228066,6,5
10228491,5,5
10228578,8,8
10228754,6,7
10229171,6,7
10229490,6,6
10230724,5,8
10231317,4,6
10231730,7,6
10232175,7,6
10232376,5,7
10232594,5,5
10232887,7,6
10233059,7,7
10233848,4,6
10234827,5,8
10234847,7,7
10234996,5,4
10235031,5,5
10235128,7,5
10235164,7,7
10235943,8,8
10236091,4,5
10236307,8,8
10237320,7,4
10237610,6,8
10237752,5,6
10237795,7,5
10238322,5,7
10239855,5,4
10239900,6,5
10240168,5,6
10240716,8,5
10241719,5,7
10242232,8,6
10242512,7,5
10242951,5,4
10243838,7,6
10244145,6,5
10244756,4,6
10245105,5,5
10245428,4,5
10245468,6,7
10246555,6,4
10247561,7,8
10247682,4,7
10247781,7,5
10248529,5,6
10249746,5,7
10249859,7,7
10250578,4,5
10250955,8,7
10251327,8,6
10253188,6,6
10253236,8,8
10253736,5,5
10254309,7,4
10254346,6,6
10254420,4,5
10254466,4,5
10255501,5,7
10255721,4,6
10256203,5,5
10256227,6,5
10257220,6,5
10257236,7,5
10257316,8,7
10257676,7,7
10258195,6,7
10258659,8,6
10258713,8,8
10258779,7,5
10259741,4,7
10259746,5,7
10259913,6,6
10260000,6,6
10260208,8,6
10260289,5,7
10260453,7,7
10260872,6,6
10261097,6,5
10261636,4,6
10262211,6,6
10262269,5,6
10262828,8,6
10263264,7,8
10263602,7,7
10264470,8,8
10264582,6,5
10266464,5,7
10267466,7,8
10268341,8,7
10268384,5,6
10268455,5,6
10268533,5,7
10269441,7,6
10270294,5,4
10270418,6,7
10270516,6,6
10270990,4,6
10271050,5,6
10271375,5,5
10271683,4,4
10271763,6,6
10271898,5,7
10272030,4,6
10272410,5,8
10272590,6,5
10272733,6,6
10272997,7,7
10273034,5,7
10273445,7,6
10273555,8,6
10274051,7,5
10274663,7,6
10274869,5,6
10275177,7,8
10276347,8,7
10276495,7,7
10276539,7,6
10276596,8,7
10277146,5,5
10277252,5,6
10277766,7,7
10278225,6,5
10278991,4,6
10279114,7,6
10280627,6,5
10280691,7,4
10280785,7,6
10280969,8,8
10281189,5,5
10281426,7,8
10281663,6,7
10281773,5,6
10282811,5,6
10283518,4,5
10283610,6,5
10284441,7,5
10284991,4,6
10285168,5,5
10285232,6,5
10285314,8,7
10286158,6,6
10287501,7,7
10287572,6,7
10287904,5,8
10287995,7,8
10288361,5,6
10288525,7,6
10288528,5,8
10288550,7,4
10289594,6,6
10289777,8,6
10290949,8,8
10292019,7,5
10292095,7,7
10292674,5,6
10292804,6,6
10293858,6,7
10293884,7,7
10293964,5,5
10294347,5,8
10294357,5,5
10295213,7,5
10295418,4,6
10295937,5,6
10298090,7,6
10299359,5,6
10300532,6,8
10301296,7,7
10301849,6,4
10302017,7,7
10302369,8,8
10303365,5,7
10303557,4,4
10303590,8,6
10303677,4,4
10303885,4,4
10304498,5,6
10304951,4,4
10305080,6,4
10305140,5,6
10305811,6,8
10306136,5,5
10306518,5,4
10306614,7,6
10306681,4,5
10307224,7,6
10307279,7,6
10307380,7,4
10307396,6,7
10307724,7,4
10307927,7,8
10308699,5,6
10308896,5,6
10309307,8,5
10309744,7,7
10310347,7,7
10310483,6,6
10310806,6,5
10312422,8,6
10312447,7,7
10312773,5,6
10312950,7,8
10313956,5,8
10314284,8,8
10314614,7,8
10314802,8,7
10315054,8,7
10315812,6,6
10315867,5,6
10316104,4,5
10316107,7,6
10316450,7,7
10317227,6,5
10317276,7,7
10317386,7,4
10317579,5,5
10317913,7,5
10317923,8,7
10318752,5,6
10319227,7,5
10320300,5,5
10320748,6,6
10320799,6,7
10321125,7,8
10321220,7,5
10321507,5,7
10321520,7,7
10321851,5,6
10321856,7,5
10321967,7,8
10322717,5,8
10322887,5,6
10323329,4,6
10323714,5,6
10324132,7,6
10324279,5,6
10324420,7,7
10324836,8,8
10325001,5,7
10326626,7,7
10327390,6,7
10327497,7,6
10327630,8,7
10327653,4,7
10327655,7,6
10329044,7,5
10329556,4,6
10329564,7,7
10330359,4,6
10330733,5,6
10331424,7,5
10331622,5,8
10333098,8,6
10333396,4,6
10334172,6,7
10334338,6,6
10334855,4,5
10335040,7,7
10335050,7,5
10335588,7,7
10335599,7,6
10335685,5,5
10335835,6,4
10336311,7,6
10336390,7,7
10337112,5,7
10337837,7,5
10339133,4,5
10340173,7,7
10340434,8,7
10340444,6,5
10340882,7,4
10342075,6,5
10342534,5,8
10343561,7,6
10343629,5,8
10343923,8,6
10343950,5,7
10344238,8,6
10344629,5,5
10345186,4,6
10345212,6,5
10345394,7,6
10345414,7,5
10345878,6,6
10346637,5,7
10347474,6,7
10347556,4,4
10348880,7,7
10349201,5,6
10349655,7,6
10350251,8,5
10350348,7,5
10350370,6,6
10350962,4,6
10351345,6,6
10352023,5,7
10352249,6,4
10352555,6,5
10352744,8,8
10352974,5,6
10353048,6,6
10353524,7,7
10353719,8,6
10355005,7,7
10355626,7,5
10355746,7,7
10355766,4,4
10355856,7,7
10356090,7,6
10356114,6,5
10356394,7,7
10356583,8,8
10356922,5,8
10357881,4,5
10357970,7,6
10358230,6,6
10358462,5,7
10358804,4,7
10358992,6,5
10359211,4,6
10359364,8,7
10359421,6,5
10359653,7,8
10359913,7,7
10360103,4,6
10360303,6,4
10361235,6,5
10362399,6,4
10363351,5,8
10364660,4,6
10364895,6,6
10365114,6,5
10365295,7,8
10365405,7,4
10365446,5,5
10365450,5,4
10365608,5,7
10367344,5,7
10367742,6,6
10367898,6,8
10368161,4,7
10368250,5,7
10369027,4,5
10370063,6,7
10370378,6,6
10371051,5,5
10371340,7,4
10371883,6,6
10372928,4,6
10373036,8,6
10373041,7,7
10373235,6,5
10373692,7,7
10374538,4,6
10376540,7,7
10376773,8,5
10377174,5,5
10377259,5,6
10377423,5,5
10377458,4,6
10377630,5,6
10377651,5,6
10378658,7,8
10378721,4,5
10378959,8,7
10379269,6,5
10379690,7,5
10379860,7,6
10380623,8,7
10381776,6,7
10382196,7,7
10382508,6,6
10383270,5,6
10383528,7,6
10383873,5,8
10384302,5,7
10384372,4,7
10384708,5,5
10385123,5,6
10385127,5,7
10385906,7,6
10386155,7,6
10388174,5,7
10388635,8,6
10388647,7,7
10388664,7,8
10388731,8,8
10389295,7,5
10389457,8,5
10389635,7,7
10389730,7,7
10390746,7,5
10390846,5,8
10391882,5,6
10393216,7,4
10394266,7,7
10394330,8,6
10394576,5,5
10395150,8,8
10395392,7,6
10396339,7,6
10396583,7,6
10396675,8,7
10396918,5,5
10397935,5,5
10398019,8,7
10398315,5,5
10398536,6,6
10398537,5,5
10398977,4,7
10399653,6,7
10399950,6,7
10400424,7,8
10401655,5,8
10402158,6,6
10403090,7,5
10403371,7,6
10403844,4,5
10403929,6,6
10404533,5,5
10404797,5,7
10405567,5,6
10405621,5,6
10406222,4,4
10406907,5,5
10407030,7,7
10407193,7,4
10407282,7,6
10408040,4,7
10408316,7,7
10408385,6,7
10408885,4,4
10409740,8,6
10409887,8,7
10410006,5,5
10410127,7,5
10410260,5,6
10410430,6,5
10411012,4,6
10411030,7,5
10411422,4,7
10411647,6,5
10411907,6,6
10412124,5,5
10412246,6,5
10412721,7,6
10413231,8,6
10413632,7,5
10413695,6,7
10415466,6,7
10415481,7,8
10415699,6,5
10416004,5,8
10416084,5,8
10416925,7,5
10417063,6,7
10417420,4,4
10417566,7,6
10418135,7,7
10418273,5,8
10419040,7,5
10419794,5,7
10420193,7,7
10420871,7,6
10421772,8,6
10421854,4,6
10421986,8,6
10422487,7,6
10423261,6,4
10423322,8,5
10424474,8,8
10424620,4,7
10425071,7,4
10425656,6,5
10425892,8,8
10426401,6,6
10426535,4,5
10427012,6,5
10427157,7,4
10427579,5,7
10427918,6,6
10429609,6,8
10429667,6,5
10430091,5,7
10430728,6,7
10431202,8,7
10431763,6,6
10432460,6,5
10432876,6,6
10433893,8,7
10435053,6,5
10435109,5,7
10435375,4,5
10435997,5,7
10436786,6,6
10436923,7,5
10438879,7,8
10438938,7,7
10439491,5,4
10439587,4,7
10441336,8,8
10441447,5,4
10441696,6,6
10441849,4,7
10442899,5,5
10442916,6,5
10443205,5,7
10443495,7,7
10443956,5,8
10444400,8,8
10444428,6,5
10445013,7,7
10446675,5,5
10447176,7,7
10447407,5,7
10447715,4,4
10447967,8,8
10448243,5,6
10449086,8,6
10449165,7,7
10450029,7,5
10450290,5,6
10450438,7,7
10450643,6,5
10451571,7,6
10451781,6,8
10451799,7,7
10451840,5,8
10452352,5,7
10452437,7,5
10452468,7,4
10453014,7,6
10453248,5,6
10453358,5,6
10453466,5,6
10453704,7,6
10453886,4,7
10454073,5,5
10454527,4,6
10455176,4,7
10455190,7,6
10455219,8,6
10456138,4,7
10456425,5,4
10456682,7,6
10456887,7,7
10457095,5,5
10457433,8,8
10457545,4,7
10457698,7,5
10457964,7,7
10458637,6,4
10458787,6,4
10458850,5,7
10458950,7,4
10459029,6,7
10459192,4,5
10459596,5,8
10461188,4,7
10461272,7,4
10461364,7,6
10461573,5,8
10461801,6,5
10462787,5,5
10463224,6,6
10463454,5,5
10463501,5,5
10463680,8,7
10463923,5,6
10463969,4,6
10464503,8,8
10464682,7,6
10465121,8,6
10466268,8,7
10466367,4,6
10468439,5,5
10468870,5,6
10469257,7,8
10469423,8,8
10469645,5,8
10470096,4,7
10470464,8,7
10470780,7,6
10471127,4,5
10471620,5,8
10471790,6,5
10471997,6,5
10472213,8,6
10473029,6,6
10473421,8,6
10473725,7,7
10473747,5,5
10474570,7,7
10475476,6,5
10476166,6,4
10476245,6,8
10476530,5,4
10476957,6,5
10477114,7,7
10477492,5,4
10477511,8,8
10477751,6,4
10478413,6,6
10478530,8,5
10478544,5,7
10478647,7,7
10478756,7,7
10478959,7,6
10479230,8,8
10480244,8,6
10480971,5,4
10480982,6,8
10481662,4,6
10481804,6,4
10482143,7,7
10482409,4,7
10482480,4,7
10483280,4,7
10483875,8,8
10484628,5,8
10484690,8,5
10485468,5,7
10485992,4,5
10486982,5,5
10487119,4,5
10487157,5,7
10487357,6,6
10487462,8,7
10487560,8,8
10487655,7,6
10487797,6,6
10488146,7,7
10488225,7,6
10488619,6,8
10488690,5,5
10489096,7,6
10489526,5,5
10489616,6,5
10490693,6,5
10490838,4,4
10490951,5,5
10491091,4,6
10491982,6,5
10492007,5,6
10492169,7,8
10492585,6,6
10493096,7,6
10493107,6,6
10493263,8,8
10493578,5,5
10495245,6,6
10495511,8,7
10496132,6,4
10496296,7,7
10496422,5,8
10496662,6,4
10496681,5,8
10497072,5,4
10497210,5,7
10497244,8,6
10499063,5,5
10499597,7,7
10500682,4,5
10500779,4,5
10501444,8,7
10501454,5,7
10501775,5,6
10502077,7,6
10502322,6,6
10502600,6,4
10502699,6,7
10502797,5,6
10503445,4,7
10504261,7,6
10504516,7,8
10505642,6,7
10506208,5,8
10506666,6,8
10507506,8,8
10508492,5,6
10509472,7,6
10509681,8,8
10509855,5,7
10509937,6,6
10510512,7,6
10510772,7,6
10511173,6,7
10511202,5,6
10511249,6,5
10511549,6,5
10512568,4,6
10513041,4,6
10513046,4,5
10513839,4,4
10514184,4,7
10514787,6,4
10515036,5,7
10515169,7,8
10515222,6,6
10515742,7,7
10516001,5,7
10516107,4,7
10516271,6,6
10516458,7,7
10516559,8,7
10516749,8,6
10516968,8,8
10517427,6,6
10518073,6,5
10518219,5,5
10518958,4,6
10519389,4,7
10519552,6,8
10519558,7,7
10519613,8,5
10520656,7,8
10520698,5,5
10520708,5,5
10521108,7,8
10521256,6,6
10521474,4,5
10521560,7,6
10522281,6,5
10522347,6,8
10522640,7,4
10522651,6,4
10522852,5,7
10523085,5,7
10523344,7,8
10523857,8,5
10524392,7,7
10524742,6,6
10524989,7,7
10525324,5,8
10525551,7,5
10526656,6,6
10527271,7,6
10527556,7,8
10528454,6,6
10529234,6,7
10530184,8,5
10530247,6,7
10530393,7,7
10530403,4,7
10530461,7,4
10530926,6,8
10530977,7,6
10531156,7,6
10531578,5,6
10531630,7,5
10531687,8,5
10532306,7,8
10532837,7,8
10532851,5,5
10533125,6,5
10533402,5,7
10533491,5,5
10533515,4,6
10533658,4,6
10534233,8,5
10534502,4,4
10534642,4,5
10534738,7,5
10534849,5,6
10535162,7,7
10535862,6,6
10535910,7,6
10535910,5,8
10536313,5,6
10536737,4,6
10537031,6,8
10537854,5,8
10538363,4,6
10538690,7,6
10538843,5,7
10538941,7,5
10539345,5,4
10539819,6,6
10540671,5,6
10541320,6,5
10541346,6,5
10541638,6,4
10541859,5,8
10542042,7,6
10542958,7,5
10543116,8,5
10543981,4,7
10544537,5,5
10544567,4,5
10545119,5,7
10545349,6,6
10545502,6,5
10546542,7,7
10547285,6,5
10547385,7,5
10547642,7,6
10547664,7,5
10549245,8,7
10549784,7,5
10550251,6,6
10550989,5,6
10551775,4,6
10553969,5,7
10554687,8,7
10554759,6,6
10554759,7,7
10554785,7,7
10555991,6,8
10556158,7,5
10556222,6,6
10556554,5,7
10556561,7,6
10556921,5,7
10557162,7,6
10557323,7,8
10558086,8,8
10559389,5,5
10559798,5,8
10560289,7,5
10560450,6,5
10561482,4,4
10561572,5,6
10561628,5,7
10562134,6,8
10562825,4,7
10562846,6,5
10562950,6,7
10562953,4,7
10563052,6,5
10563056,5,7
10563235,7,7
10563704,5,4
10563741,5,5
10564620,5,8
10565597,8,8
10565629,5,7
10565890,5,5
10565967,7,5
10566004,8,8
10566916,6,7
10567077,7,6
10567283,8,5
10567303,7,6
10567540,5,8
10567734,7,5
10567849,6,7
10568701,5,6
10568826,4,7
10569098,8,6
10569654,6,6
10569830,7,6
10569918,6,5
10570633,6,8
10571237,5,7
10571727,6,6
10571999,6,5
10572498,5,5
10572518,7,5
10572742,8,5
10572816,5,7
10573374,4,6
10573471,7,7
10573790,7,8
10575581,5,7
10576090,4,4
10576179,6,4
10576350,6,7
10576500,6,6
10576911,7,6
10577104,5,6
10577136,4,7
10577492,7,6
10577697,7,6
10578409,4,6
10579034,6,4
10579532,5,7
10579577,6,5
10580148,7,8
10580355,5,7
10581410,8,8
10581975,5,7
10582380,6,6
10582418,6,6
10582525,5,7
10582537,8,7
10582618,8,8
10582701,5,7
10583203,7,6
10583243,8,8
10583489,6,5
10583547,8,8
10583588,5,7
10583692,5,4
10583799,6,7
10585826,8,6
10586414,6,7
10586741,5,7
10586935,6,8
10587170,5,5
10587451,5,6
10587880,6,5
10588074,8,7
10588745,6,4
10589366,7,6
10589372,8,7
10589616,7,6
10590077,6,5
10590228,5,6
10590442,7,5
10590535,7,7
10591000,7,6
10591251,7,8
10591676,8,8
10591816,5,6
10592121,5,6
10592736,4,5
10593030,5,7
10593297,5,6
10593324,5,4
10593631,6,5
10593667,7,8
10593762,4,6
10594356,6,8
10595071,7,7
10596048,6,5
10596254,8,5
10597597,6,5
10597738,7,6
10598241,7,8
10599044,7,8
10599126,6,4
10599807,6,5
10599967,7,8
10599986,5,6
10600166,6,6
10600483,6,7
10600814,5,7
10601038,7,6
10601163,4,5
10602686,5,7
10602775,4,6
10602820,8,7
10602912,5,4
10602948,8,8
10603466,6,5
10604678,7,6
10607414,6,4
10607941,7,6
10608494,7,4
10608588,7,7
10609717,4,7
10609954,7,7
10610008,6,5
10610610,4,5
10611589,7,6
10611725,7,4
10611957,5,7
10612041,5,6
10612045,4,5
10612762,5,5
10613493,6,6
10614193,5,5
10614381,7,7
10615227,7,6
10616199,7,5
10617035,4,7
10617148,7,7
10617281,4,7
10617720,6,5
10617732,6,7
10618080,8,6
10619157,4,7
10619343,6,5
10619624,8,8
10619918,5,7
10620945,7,8
10621390,8,5
10622256,4,7
10622411,7,6
10622710,6,7
10622781,8,7
10622787,5,8
10622867,6,7
10622909,7,7
10623822,7,7
10624914,8,6
10625032,7,7
10625761,6,5
10625792,6,6
10625989,5,6
10626001,4,6
10626260,6,5
10626442,5,7
10627008,5,4
10627729,8,6
10628339,6,5
10628466,6,5
10628687,4,6
10628773,7,7
10629024,7,5
10629046,5,7
10629106,4,7
10629334,5,8
10630619,7,7
10632185,5,4
10632904,8,8
10633775,7,5
10634098,6,7
10634438,5,8
10634760,7,6
10634801,6,5
10635832,4,6
10636102,6,5
10636486,6,7
10637316,7,6
10637778,7,4
10637828,6,6
10638864,7,7
10639185,7,6
10639352,6,5
10639555,7,6
10639792,4,6
10640883,5,6
10641324,6,5
10641865,5,6
10642326,7,6
10642402,7,7
10642706,4,7
10642776,5,8
10643434,8,5
10643544,8,8
10644814,7,6
10645349,6,6
10645565,5,6
10646451,6,7
10646785,8,5
10647271,5,5
10647514,6,5
10647945,7,7
10648131,6,6
10648336,5,8
10648425,7,5
10648584,4,6
10648831,7,5
10649171,6,4
10649404,5,7
10649462,8,8
10650569,7,7
10650666,8,7
10650941,7,6
10651418,5,6
10651898,5,5
10652757,4,6
10653165,7,4
10653342,8,5
10653527,7,5
10653779,5,6
10655284,7,4
10655978,7,6
10656631,5,6
10656699,5,5
10656814,8,5
10657168,5,7
10657298,5,7
10657579,5,5
10657980,5,4
10658991,7,8
10659011,6,6
10659452,5,5
10659537,4,4
10659879,7,6
10659948,7,5
10660243,5,8
10660411,7,4
10660582,5,6
10660723,8,6
10660884,8,7
10661675,4,6
10663485,6,5
10663753,7,7
10663757,5,5
10664206,6,7
10664373,6,5
10665013,6,5
10665175,5,7
10665198,7,7
10666058,5,8
10666440,4,4
10666698,7,7
10666773,6,6
10667321,5,6
10667361,5,4
10667420,4,7
10667916,6,6
10668089,7,7
10668591,4,7
10668878,7,4
10669277,4,7
10669683,6,5
10670010,6,8
10670705,8,6
10670945,8,7
10671006,8,6
10672239,7,6
10672635,6,7
10672816,4,6
10672916,4,7
10673010,8,6
10673155,7,5
10673862,6,5
10674470,8,8
10674482,5,8
10675586,6,7
10678644,5,7
10679416,5,8
10679608,6,7
10679674,4,5
10680003,7,7
10680055,5,7
10680166,5,5
10680364,5,4
10680445,8,8
10681007,6,6
10681415,5,4
10681936,5,6
10682532,5,7
10682625,8,8
10682641,6,7
10682747,5,6
10682985,7,8
10683083,7,6
10683260,7,8
10683339,6,6
10683363,8,8
10683655,5,6
10683737,4,5
10684066,5,6
10684558,8,7
10685056,7,6
10685246,7,6
10685591,4,7
10685741,7,6
10685875,4,4
10686165,5,6
10687084,7,7
10689073,7,7
10689188,4,5
10689546,6,7
10690481,4,5
10690806,5,8
10691126,5,5
10691443,7,8
10691799,4,6
10691854,5,7
10691865,5,6
10693166,7,6
10693342,6,4
10693488,7,6
10694609,8,8
10695070,8,6
10695277,5,6
10695693,5,6
10695707,7,7
10696536,7,6
10696961,7,7
10697262,7,6
10697730,7,5
10698411,5,5
10698437,6,7
10698685,6,6
10698925,5,8
10699530,5,5
10699989,4,7
10700440,6,7
10700848,7,7
10701772,4,5
10703253,6,5
10703470,6,6
10703575,5,4
10704574,6,5
10704651,5,7
10704679,6,6
10705145,5,5
