id	ManamgementDimension	StrategicDimenision
10613493	7	5
10659948	6	6
10270990	7	8
10113661	7	6
10575581	5	6
10660582	5	8
10672816	7	8
10281773	5	8
10723284	4	7
10126657	6	6
10729107	5	5
10490838	7	5
10959896	4	8
10455176	4	6
10377458	6	5
10139144	6	5
10554759	5	8
10116356	6	8
10037903	4	8
10683655	6	5
10441849	6	7
10573471	4	5
10545119	4	7
10358230	5	7
10295418	4	6
10780339	5	6
10583692	7	7
10304498	6	7
10075139	5	5
10116333	5	8
10076342	7	6
10795147	6	7
10012137	6	8
10911891	6	7
10987637	7	6
10971485	6	6
10861053	5	7
10792920	7	5
10965491	6	6
10435375	6	7
10330733	6	5
10547642	4	7
10339133	7	5
10075443	5	8
10295213	7	5
10583588	4	8
10752350	6	8
10064168	7	7
10712651	7	7
10990609	4	5
10573374	7	7
10088696	6	5
10426535	5	5
10819607	7	8
10888604	7	6
10015525	6	7
10120269	6	7
10760028	4	8
10447715	4	6
10310806	7	8
10360303	6	6
10355626	5	8
10253188	5	7
10274051	4	7
10761786	6	8
10049564	4	5
10832414	5	7
10295937	5	8
10553969	7	7
10125723	6	5
10797705	7	6
10497072	5	7
10384372	5	7
10908074	7	5
10550251	4	6
10740900	7	8
10541638	5	5
10754733	4	8
10866334	4	8
10590535	5	6
10705659	4	6
10859109	5	7
10059704	5	8
10271683	7	7
10232594	4	7
10614381	4	5
10828219	5	7
10597738	5	5
10996035	4	5
10450438	4	5
10593324	7	5
10480971	5	5
10952041	5	6
10922112	5	8
10668878	5	8
10189534	7	5
10020299	5	7
10137847	9	8
10659452	7	7
10359364	9	9
10753174	6	9
10042741	6	7
10711979	6	8
10506208	6	9
10656814	6	7
10515742	7	7
10741491	7	8
10005203	6	8
10314614	9	7
10851904	7	7
10370063	6	8
10113835	8	7
10523857	9	9
10528454	7	9
10184668	9	9
10532851	8	7
10868158	8	9
10566004	9	9
10786107	7	9
10263602	7	9
10185225	8	7
10471620	8	8
10181455	7	9
10637316	7	7
10750187	8	7
10495511	7	9
10110587	9	9
10761852	6	9
10760105	9	9
10944103	6	7
10879935	8	7
10770693	8	7
10587170	7	8
10383873	9	8
10043661	6	9
10778634	9	7
10780701	6	8
10562134	6	8
10596254	8	7
10321967	8	9
10450290	8	7
10875116	6	7
10475476	9	9
10371051	7	7
10416084	9	7
10000274	8	8
10959853	7	7
10279114	6	7
10487357	8	7
10798561	8	7
10766521	8	9
10327390	8	8
10234847	8	9
10219055	7	8
10563052	8	9
10435109	9	8
10210167	9	8
10340434	8	7
10221879	7	8
10257236	7	9
10054217	8	7
10488619	7	9
10556921	9	7
10530926	8	9
10228578	6	8
10067720	7	7
10100341	6	9
10748581	7	8
10168392	8	7
10139679	6	8
10854135	7	7
10347474	6	9
10490693	7	9
10035357	6	9
10622781	6	7
10122863	9	8
10013896	8	7
10583243	9	7
10178184	7	8
10352744	7	7
10266464	6	7
10537854	8	8
10521560	8	8
10359653	8	9
10087746	8	9
10057853	9	8
10858181	9	7
10827930	9	8
10357970	6	8
10836941	8	8
10632904	9	9
10587451	9	9
10950462	9	7
10157446	6	7
10480244	6	7
10953469	6	7
10770061	9	8
10740776	9	9
10671006	8	7
10511249	7	8
10591251	8	9
10817790	9	8
10108089	6	9
10394330	9	8
10463501	8	8
10516458	8	7
10760294	6	8
10572816	8	8
10150966	9	9
10851906	8	8
10046035	6	7
10048162	6	7
10883513	8	7
10232175	7	9
10209798	9	8
10586414	9	8
10937543	6	8
10647514	9	9
10950934	6	9
10651418	6	7
10985948	9	9
10144324	6	8
10966444	9	7
10981147	8	8
10195298	9	8
10974242	8	9
10012774	9	8
10695277	9	9
10626442	8	7
10329564	7	8
10715355	6	9
10020265	6	9
10151491	6	8
10183969	9	9
10743907	8	8
10351345	8	8
10709560	6	9
10276347	6	9
10083694	8	9
10576911	8	8
10203631	7	7
10959798	6	6
10470096	6	7
10352249	5	6
10761480	6	7
10617148	5	7
10315812	7	6
10907861	4	6
10659011	7	5
10765144	5	8
10260872	7	5
10822063	6	6
10345186	7	8
10610610	7	6
10515036	5	6
10926436	5	8
10187049	7	8
10859088	5	8
10855313	4	7
10274663	6	6
10368161	5	5
10355766	7	5
10804584	4	8
10247682	4	6
10255721	6	5
10530393	6	5
10546542	5	8
10869535	6	8
10790164	4	8
10262269	6	5
10408040	6	7
10663753	4	5
10123723	4	7
10778068	5	7
10602775	4	6
10307724	5	6
10214634	7	7
10377651	6	7
10131712	5	5
10200658	5	8
10443205	7	6
10396583	6	7
10765950	6	8
10478413	6	7
10763756	7	6
10850887	6	6
10910260	5	7
10550989	7	5
10617281	6	6
10766839	6	7
10060267	6	5
10967562	4	7
10679674	7	5
10901704	5	8
10572518	7	5
10055027	4	8
10045756	6	8
10425071	7	7
10696961	7	7
10442899	4	5
10323329	7	7
10530977	6	5
10544567	5	5
10518958	7	8
10931378	7	6
10829102	6	7
10185117	6	7
10220171	4	8
10417420	4	6
10703253	7	8
10599126	6	6
10284441	5	8
10144491	5	7
10345414	4	7
10925633	6	8
10668591	4	5
10452468	5	7
10113665	5	8
10040142	7	7
10590077	6	5
10568701	7	6
10993576	5	7
10562953	5	7
10110048	7	5
10173808	4	6
10303677	7	8
10246555	5	5
10331424	4	8
10563741	4	8
10994678	5	6
10463454	4	6
10283518	5	7
10119148	5	8
10961182	7	7
10271375	4	7
10061041	4	5
10629106	5	7
10489096	5	5
10288525	4	5
10451799	4	5
10365450	7	5
10242951	5	5
10307380	5	6
10049843	5	8
10237320	5	8
10907081	7	5
10492585	5	7
10523344	9	8
10490951	7	7
10004300	9	9
10980631	6	9
10989666	6	7
10047644	6	8
10960162	6	9
10045005	6	7
10013815	7	7
10759063	7	8
10079815	6	8
10925181	9	7
10112523	7	7
10689546	6	8
10532306	8	7
10643434	9	9
10345878	7	9
10733751	9	9
10859801	8	7
10818931	8	9
10483875	9	9
10530184	7	9
10388647	7	9
10772839	8	7
10022029	8	8
10747815	7	9
10685246	7	7
10541346	8	7
10431202	7	9
10485468	9	9
10905348	6	9
10875517	9	9
10599986	6	7
10272590	8	7
10329044	8	7
10764031	7	8
10272410	9	8
10527271	6	9
10622710	9	7
10502322	6	8
10555991	6	8
10653342	8	7
10527556	8	9
10219293	8	7
10896425	6	7
10932050	9	9
10184547	7	7
10010667	9	7
10599044	8	8
10933625	7	7
10672239	6	7
10262211	8	7
10350348	8	7
10479230	8	9
10679608	8	8
10158267	8	9
10182496	7	8
10669683	8	9
10099880	9	8
10120178	9	8
10902637	8	7
10150442	7	8
10247781	7	9
10722304	8	7
10817952	7	9
10602686	9	7
10506666	8	9
10123426	6	8
10169860	7	7
10084571	6	9
10336311	7	8
10559389	8	7
10317913	6	8
10968803	7	7
10675586	6	9
10191525	7	9
10982682	6	9
10602820	6	7
10281663	9	8
10583799	8	7
10769486	9	7
10672635	7	8
10643544	7	7
10343950	6	7
10948718	8	8
10780050	8	8
10504516	8	9
10558086	8	9
10188964	9	8
10884615	9	7
10403371	9	8
10943470	6	8
10511549	8	8
10425892	9	9
10656631	9	9
10147446	9	7
10159388	6	7
10624914	6	7
10695707	6	7
10789879	9	8
10449086	9	9
10722177	8	7
10150592	7	8
10727802	8	9
10361235	9	8
10221733	6	9
10883980	9	8
10128808	8	8
10473725	8	7
10961205	6	8
10004423	8	8
10151575	9	9
10395392	8	8
10793587	6	7
10544537	6	7
10747667	8	7
10815297	7	9
10171083	9	8
10901223	9	8
10949491	6	8
10755730	9	9
10593030	6	9
10305140	6	7
10496681	9	9
10693488	6	8
10619624	9	7
10628773	8	8
10961579	9	8
10808162	8	9
10531687	9	8
10890517	9	9
10368250	8	7
10301296	7	8
10496296	6	9
10135650	6	9
10212739	6	8
10927698	9	9
10477511	8	8
10260000	8	8
10201066	6	9
10024622	6	9
10378658	8	9
10307224	8	8
10710858	7	7
10062315	6	6
10456138	6	7
10995348	5	6
10288550	6	7
10622909	5	7
10999445	7	6
10307279	4	6
10713800	7	5
10324420	5	8
10758577	7	5
10648425	6	6
10463969	7	8
10378721	7	6
10571237	5	6
10315867	5	8
10364660	7	8
10949767	5	8
10967317	4	7
10379860	6	6
10743485	5	5
10513839	7	5
10859933	4	8
10457545	4	6
10628687	6	5
10249859	6	5
10310347	5	8
10863639	6	8
10663485	4	8
10886391	6	5
10961760	6	7
10933359	4	5
10435997	4	7
10535862	5	7
10512568	4	6
10608494	5	6
10657980	7	7
10987560	6	7
10470780	5	5
10876962	5	8
10774509	7	6
10861943	6	7
10482143	6	8
10185505	6	7
10418135	7	6
10130995	6	6
10301849	5	7
10809694	7	5
10888778	6	6
10690481	6	7
10405621	6	5
10280785	4	7
10120177	7	5
10943018	5	8
10411030	7	5
10084265	4	8
10571727	6	8
10340882	7	7
10955374	7	7
10656699	4	5
10466367	7	7
10147100	6	5
10485992	5	5
10533515	7	8
10429667	7	6
10649171	6	7
10538363	6	7
10521474	4	8
10168450	4	6
10047214	7	8
10957537	6	6
10556158	5	8
10704679	5	7
10403090	4	7
10092471	6	8
10829708	4	5
10738278	5	7
10536313	5	8
10427579	7	7
10435053	6	5
10927241	7	6
10034229	5	7
10424620	5	7
10028712	7	5
10055120	4	6
10098051	7	8
10830305	5	5
10973816	4	8
10085495	4	8
10816273	5	6
10735244	4	6
10054050	5	7
10542958	5	8
10304951	7	7
10214999	4	7
10979880	4	5
10699989	5	7
10327497	5	5
10639185	4	5
10195524	4	5
10627008	7	5
10239855	5	5
10867863	5	6
10966044	5	8
10013131	5	8
10509472	7	5
10150946	5	7
10151367	9	8
10149139	7	7
10084462	9	9
10185132	6	9
10913997	6	7
10501444	6	8
10629334	6	9
10423322	6	7
10734357	7	7
10949600	7	8
10404533	6	8
10312950	9	7
10051271	7	7
10399950	6	8
10803050	8	7
10750108	9	9
10943226	7	9
10771375	9	9
10028884	8	7
10938100	8	9
10602948	9	9
10621390	7	9
10389730	7	9
10314802	8	7
10029385	8	8
10634760	7	9
10306614	7	7
10264582	8	7
10975106	7	9
10533402	9	9
10194616	6	9
10673010	9	9
10971078	6	7
10857636	8	7
10321856	8	7
10028088	7	8
10342534	9	8
10029721	6	9
10700440	9	7
10582380	6	8
10367898	6	8
10240716	8	7
10211292	8	9
10453248	8	7
10810609	6	7
10634801	9	9
10091005	7	7
10679416	9	7
10058874	8	8
10065370	7	7
10604678	6	7
10432876	8	7
10633775	8	7
10680445	8	9
10831487	8	8
10786526	8	9
10642776	7	8
10130954	8	9
10365608	9	8
10921095	9	8
10972858	8	7
10628466	7	8
10648831	7	9
10898674	8	7
10822669	7	9
10419794	9	7
10013707	8	9
10507506	6	8
10206784	7	7
10107955	6	9
10461364	7	8
10612762	8	7
10996772	6	8
10145846	7	7
10936410	6	9
10345212	7	9
10165578	6	9
10315054	6	7
10562950	9	8
10229171	8	7
10235943	9	7
10566916	7	8
10170294	7	7
10008890	6	7
10459596	8	8
10974423	8	8
10599967	8	9
10264470	8	9
10505642	9	8
10060660	9	7
10642326	9	8
10155946	6	8
10571999	8	8
10487560	9	9
10463923	9	9
10373036	9	7
10771404	6	7
10303590	6	7
10718321	6	7
10629046	9	8
10465121	9	9
10903010	8	7
10340444	7	8
10598241	8	9
10034587	9	8
10775889	6	9
10258659	9	8
10228491	8	8
10321520	8	7
10040547	6	8
10565629	8	8
10588074	9	9
10385906	8	8
10421986	6	7
10892916	6	7
10517427	8	7
10923774	7	9
10742176	9	8
10088190	9	8
10023197	6	8
10489616	9	9
10563056	6	9
10744651	6	7
10098601	9	9
10977049	6	8
10155367	9	7
10893240	8	8
10646451	9	8
10007003	8	9
10484690	9	8
10932569	9	9
10785018	8	7
10979827	7	8
10335588	6	9
10088433	6	9
10520708	6	8
10644814	9	9
10079297	8	8
10814957	8	8
10344629	6	9
10730689	6	9
10321125	8	9
10838493	8	8
10061499	7	7
10963157	6	6
10048923	6	7
10477751	5	6
10365405	6	7
10445013	5	7
10751394	7	6
10192298	4	6
10711491	7	5
10143558	5	8
10101570	7	5
10045420	6	6
10329556	7	8
10601163	7	6
10082191	5	6
10076735	5	8
10000865	7	8
10277252	5	8
10845847	4	7
10196028	6	6
10543981	5	5
10347556	7	5
10491091	4	8
10164897	4	6
10350962	6	5
10292095	6	5
10272997	5	8
10221101	6	8
10130914	4	8
10097308	6	5
10439587	6	7
10965638	4	5
10649404	4	7
10909116	5	7
10578409	4	6
10784629	5	6
10441447	7	7
10174878	6	7
10298090	5	5
10272030	5	8
10452352	7	6
10895121	6	7
10960852	6	8
10272733	6	7
10892184	7	6
10377174	6	6
10060236	5	7
10377630	7	5
10530403	6	6
10683737	6	7
10299359	6	5
10386155	4	7
10306681	7	5
10241719	5	8
10450029	7	5
10255501	4	8
10370378	6	8
10027634	7	7
10787397	7	7
10896472	4	5
10533658	7	7
10809211	6	5
10357881	5	5
10873597	7	8
10736370	7	6
10851580	6	7
10004933	6	7
10141379	4	8
10199615	4	6
10706616	7	8
10576179	6	6
10237795	5	8
10625792	5	7
10926282	4	7
10185421	6	8
10672916	4	5
10052164	5	7
10067369	5	8
10730268	7	7
10926434	6	5
10383270	7	6
10681415	5	7
10482480	5	7
10025841	7	5
10463224	4	6
10998003	7	8
10458637	5	5
10043051	4	8
10825446	4	8
10135068	5	6
10194712	4	6
10487119	5	7
10009749	5	8
10957281	7	7
10739718	4	7
10474570	4	5
10667420	5	7
10589366	5	5
10993803	4	5
10910327	4	5
10996955	7	5
10085368	5	5
