id	Industry_Vertical	SubVertical	City
10013606	Technology	Electronic Payments Solution Company	Mumbai
10013707	Consumer Internet	Online/Mobile food ordering platform	Bangalore
10013815	Technology	Financial Technology Research Platform	Bangalore
10013896	Consumer Internet	Educational College Search platform	New Delhi
10014547	Healthcare	Professional Health Services Platform	Mumbai
10015128	Consumer Internet	Online Food Ordering & Delivery Portal	Gurgaon
10015487	Consumer Internet	Fresh Food Delivery platform	Bangalore
10015525	Finance	Agricultural Loan	Chennai
10015717	ECommerce	B2B Marketplace for Distributors	Mumbai
10015744	Technology	Electronic Payments Solution Company	Mumbai
10015956	Consumer Internet	Online lending platform	Bangalore
10017746	FMCG	Vegetables & Fruits Supply Chain	Mumbai
10017878	Technology	Online Tutorial Marketplace	Bangalore
10018212	Consumer Internet	Online insurance policy aggregator	Noida
10018469	Technology	Online Tutorial Marketplace	Bangalore
10019319	Consumer Internet	Photography curation & Aggregator platform	Mumbai
10020163	Consumer Internet	Online match-making app	Bangalore
10020265	Consumer Internet	Online Food Ordering & Delivery Portal	Gurgaon
10020299	Technology	Decision Sciences Analytics Solutions	Bangalore
10020383	ECommerce	Online Grocery Store	Bangalore
10020490	Technology	Home Automation & Security Solutions	Bangalore
10020583	Technology	Electronic Payments Solution Company	Mumbai
10021253	Consumer Internet	Live Online Coaching Classes	New Delhi
10021694	Consumer Internet	Online/Mobile food ordering platform	Bangalore
10021921	Technology	Next Generation in-building connectivity	Bangalore
10022029	Consumer Internet	Online Education Portal	Gurgaon
10023032	Consumer Internet	Tech Enabler for Artists	Mumbai
10023197	Entertainment	Digital Entertainment for Children	Mumbai
10024622	Technology	Enterprise Cloud Based Data Processing	Bangalore
10025841	ECommerce	Construction Material Marketplace	Bangalore
10026135	BFSI	Startup Funding Deal Discovery & Execution platform	Bangalore
10027634	Consumer Internet	Automobile Service Booking App	Bangalore
10027707	Consumer Internet	Automobile Classifieds Portal	Mumbai
10027859	Technology	Smartphone OS Developer	Bangalore
10028088	Consumer Internet	Train PNR Status Prediction Platform	Bangalore
10028604	ECommerce	Online/ Mobile Jewellery Retailer	Bangalore
10028631	Healthcare	Professional Health Services Platform	Mumbai
10028712	Healthcare	Healthcare Product Manufacturer	Bangalore
10028884	ECommerce	Online Rental Marketplace	Bangalore
10029385	Consumer Internet	Online Fitness & Educational information Aggregator	Jodhpur
10029721	Consumer Internet	Online Furnishing Rental Platform	Gurgaon
10029749	Consumer Internet	"Online Travel, Adventure & Activities Portal"	Bangalore
10030396	Finance	Agricultural Loan	Chennai
10030646	ECommerce	Online/ Mobile Jewellery Retailer	Bangalore
10031983	Technology	Online Tutorial Marketplace	Bangalore
10032511	ECommerce	Mobile Accessories etailer	New Delhi
10033416	Consumer Internet	Hindi Language Social Networking Portal	Kanpur
10033807	Technology	Local language Mobile OS	Mumbai
10034229	Consumer Internet	Carpooling Mobile App	Gurgaon
10034387	ECommerce	Mobile based Retail Market Ecosystem	Bangalore
10034587	Technology	Connected Smart Home Solutions	Bangalore
10034758	Consumer Internet	Fitness related Social Networking App & Forum	Gurgaon
10034835	Consumer Internet	On Demand Cleaning Services Mobile App	Mumbai
10035357	Consumer Internet	Casual Gaming platform	New Delhi
10035988	ECommerce	Online Jewellery etailer	Bangalore
10037047	Consumer Internet	Dating & Singles Chat Platform	Mumbai
10037356	ECommerce	Online platform for Higher Education Services	New Delhi
10037420	Technology	Personal Assistant	Bengaluru
10037903	ECommerce	Kids Focused eTailer	Pune
10038683	ECommerce	Online Grocery Store	Bangalore
10038795	Consumer Internet	Parenting Mobile App	New Delhi
10038918	Consumer Internet	Online Fitness & Educational information Aggregator	Jodhpur
10039638	Consumer Internet	SME Online Buying Hub	Gurgaon
10040142	Consumer Internet	Photography curation & Aggregator platform	Mumbai
10040547	Consumer Internet	Fresh Food Delivery platform	Bangalore
10040590	Technology	Customer Engagement Platform	New Delhi
10040625	ECommerce	Organic Food eTailer	Bangalore
10040682	ECommerce	Adult Products Etailers	New Delhi / US
10040783	Consumer Internet	Train PNR Status Prediction Platform	Bangalore
10040863	Technology	Enterprise Cloud Based Data Processing	Bangalore
10040969	Consumer Internet	Bitcoin Buying & Selling Mobile App	Ahmedabad
10041091	ECommerce	Online Fashion Apparel Retailer	Gurgaon
10041551	Healthcare	Women Hygiene Product Manufacturer	Mumbai
10042043	Technology	Decision Sciences Analytics Solutions	Bangalore
10042207	ECommerce	B2B Procurement Marketplace for Office Products	Noida
10042248	Technology	Decision Sciences Analytics Solutions	Bangalore
10042289	Technology	Local language Mobile OS	Mumbai
10042741	Consumer Internet	DIY event registration and ticketing portal	Pune
10042828	ECommerce	Online Jewellery etailer	Bangalore
10043051	Consumer Internet	Fitness related Social Networking App & Forum	Gurgaon
10043401	ECommerce	Women Apparel & Lifestyle etailer	Bangalore
10043661	Consumer Internet	Two Wheeler Taxi Service	Gurgaon
10044571	Consumer Internet	Online Fantasy Games	Mumbai
10044673	Technology	VR based Spiritual platform	Bangalore
10045005	Technology	Real time data analytics & reporting	Bangalore
10045329	Consumer Internet	"Online Travel, Adventure & Activities Portal"	Bangalore
10045373	Consumer Internet	Cloud Mobility Solutions	Mumbai
10045420	Technology	Decision Sciences Analytics Solutions	Bangalore
10045493	Technology	IoT Based Energy Monitoring & Control	Gurgaon
10045709	Healthcare	Women Hygiene Product Manufacturer	Mumbai
10045756	Consumer Internet	Educational College Search platform	New Delhi
10046035	Consumer Internet	Online Fitness & Educational information Aggregator	Jodhpur
10046884	Consumer Internet	DIY event registration and ticketing portal	Pune
10047214	ECommerce	ECommerce Marketplace	Gurgaon
10047644	Consumer Internet	Online Fantasy Games	Mumbai
10047745	Technology	Data Intelligence & Analytics	Hyderabad
10047977	Technology	VR based Spiritual platform	Bangalore
10048162	Consumer Internet	Rental Bike Aggregator App	Noida
10048702	Finance	Startup Crowd-funding platform	Mumbai
10048923	Consumer Internet	Automobile Classifieds Portal	Mumbai
10049564	ECommerce	Online platform for Higher Education Services	New Delhi
10049843	Entertainment	Digital Entertainment for Children	Mumbai
10050083	Healthcare	Professional Health Services Platform	Mumbai
10050681	Education	Career Planning and Education Advisory Platform	Mumbai
10051271	Consumer Internet	Photography curation & Aggregator platform	Mumbai
10051315	Consumer Internet	Dating & Singles Chat Platform	Mumbai
10051373	Consumer Internet	Online lending platform	Bangalore
10051502	ECommerce	Mobile Accessories etailer	New Delhi
10051549	Food & Beverage	Craft Beer manufacturing company	New Delhi
10052077	Technology	IoT Based Energy Monitoring & Control	Gurgaon
10052164	Consumer Internet	Auto Classifieds Portal	Mumbai
10052261	Technology	Personal Assistant	Bengaluru
10053333	Consumer Internet	Casual Gaming platform	New Delhi
10053347	Consumer Internet	Online/Mobile food ordering platform	Bangalore
10053632	Consumer Internet	on-demand concierge services	Gurgaon
10053733	Technology	Mobile & Cloud based App developer	New Delhi
10053829	Logistics	Online freight aggregator	Bangalore
10054050	Consumer Internet	Online/Mobile food ordering platform	Bangalore
10054081	ECommerce	Women Fashion Portal	Bangalore
10054217	Consumer Internet	Carpooling Mobile App	Gurgaon
10055027	Technology	Local language Mobile OS	Mumbai
10055120	Consumer Internet	Fitness related Social Networking App & Forum	Gurgaon
10057696	Consumer Internet	on-demand concierge services	Gurgaon
10057840	Technology	Real time data analytics & reporting	Bangalore
10057853	Consumer Internet	Personal Finance Mobile App	Bangalore
10058074	Education	Children Education & Information platform	Gurgaon
10058095	Technology	"TV Search, Guide and Remote mobile app"	Bangalore
10058635	Consumer Internet	Fitness related Social Networking App & Forum	Gurgaon
10058874	Consumer Internet	Auto Classifieds Portal	Mumbai
10059092	Consumer Internet	Parenting Social Network	Bangalore
10059136	Consumer Internet	Mobile based Referral Platform	Mumbai
10059382	BFSI	Startup Funding Deal Discovery & Execution platform	Bangalore
10059704	Finance	Startup Crowd-funding platform	Mumbai
10060236	Consumer Internet	Ride Sharing platform	Bangalore
10060267	Consumer Internet	Online/Mobile food ordering platform	Bangalore
10060483	Consumer Internet	Online Furnishing Rental Platform	Gurgaon
10060496	Healthcare	Medical Tourism platform	Pune
10060660	Consumer Internet	Social Network for Healthcare Professionals	Ahmedabad
10060663	ECommerce	Home D?cor Product etailer	New Delhi
10061037	Finance	Social Business Incubator & Fund	Chennai
10061041	Technology	Mobile & Cloud based App developer	New Delhi
10061499	Consumer Internet	"Online Travel, Adventure & Activities Portal"	Bangalore
10061511	Food & Beverage	Healthy food manufacturing & sales startup	Ahmedabad
10061569	Consumer Internet	SME Online Buying Hub	Gurgaon
10062315	ECommerce	Home D?cor Product etailer	New Delhi
10062525	Technology	"TV Search, Guide and Remote mobile app"	Bangalore
10063187	Consumer Internet	Hindi Language Social Networking Portal	Kanpur
10063214	Healthcare	Women Hygiene Product Manufacturer	Mumbai
10063350	Consumer Internet	Online Real Estate Portal	Mumbai
10063864	Consumer Internet	Online insurance policy aggregator	Noida
10064118	Consumer Internet	Mobile Advertising App	Noida
10064168	Technology	Mobile App Analytics	Mumbai
10064237	Consumer Internet	Food Ordering Mobile App	Hyderabad
10064357	Finance	Online Lending	Ahmedabad
10065370	Consumer Internet	peer-to-peer renting Marketplace	Bangalore
10067369	Consumer Internet	peer-to-peer renting Marketplace	Bangalore
10067720	Consumer Internet	healthcare aggregator platform	Mumbai
10068357	Consumer Internet	Live Online Coaching Classes	New Delhi
10068374	Consumer Internet	Party Hall Booking platform	Bangalore
10068876	Consumer Internet	Rental Bike Aggregator App	Noida
10069231	Technology	Electronic Payments Solution Company	Mumbai
10070187	Consumer Internet	Bitcoin Buying & Selling Mobile App	Ahmedabad
10070407	Consumer Internet	Indians focused Matchmaking App	Bangalore
10070628	Consumer Internet	DIY event registration and ticketing portal	Pune
10070819	Consumer Internet	Mobile Advertising App	Noida
10071160	BFSI	Startup Funding Deal Discovery & Execution platform	Bangalore
10071880	Consumer Internet	Auto Classifieds Portal	Mumbai
10072882	Consumer Internet	Online Fantasy Games	Mumbai
10075139	Technology	Home Automation & Security Solutions	Bangalore
10075443	Consumer Internet	Crowd Funding Platform	New Delhi
10076124	ECommerce	ECommerce Marketplace	Gurgaon
10076342	Technology	Enterprise Cloud Based Data Processing	Bangalore
10076438	Consumer Internet	Mobile balance Checking App	Gurgaon
10076735	Technology	Expense Management Solution	Bangalore
10076984	Consumer Internet	Deal Discovery App	Bangalore
10077226	Consumer Internet	Food Delivery Platform	Hyderabad
10077948	Technology	Online Tutorial Marketplace	Bangalore
10078196	Consumer Internet	Smart Parking Platform	New Delhi
10079107	FMCG	Vegetables & Fruits Supply Chain	Mumbai
10079297	Technology	Real time data analytics & reporting	Bangalore
10079306	Technology	Local language Mobile OS	Mumbai
10079815	Technology	Customer Engagement Platform	New Delhi
10080385	Technology	Next Generation in-building connectivity	Bangalore
10080812	Education	Child Disorder Information & Education	Bhopal
10081753	Consumer Internet	"Online Travel, Adventure & Activities Portal"	Bangalore
10082191	Consumer Internet	Parenting Mobile App	New Delhi
10082243	Healthcare	Salons & Spa Chain	Gurgaon
10082532	Consumer Internet	Online Fitness & Educational information Aggregator	Jodhpur
10082600	Consumer Internet	Mobile Advertising App	Noida
10083408	ECommerce	Construction Material Marketplace	Bangalore
10083694	Food & Beverage	Craft Beer manufacturing company	New Delhi
10084265	Consumer Internet	Two Wheeler Taxi Service	Gurgaon
10084462	Technology	Smartphone OS Developer	Bangalore
10084571	BFSI	Startup Funding Deal Discovery & Execution platform	Bangalore
10085276			
10085368	Finance	Social Business Incubator & Fund	Chennai
10085495	Consumer Internet	Instant Content Transfer Mobile App	Mumbai
10085699	Consumer Internet	Mobile based Referral Platform	Mumbai
10085747	ECommerce	B2B Industrial Goods Marketplace	New Delhi
10085924	Consumer Internet	Fitness related Social Networking App & Forum	Gurgaon
10085993	Technology	Next Generation in-building connectivity	Bangalore
10086017	Consumer Internet	Food Ordering Mobile App	Hyderabad
10086049	Education	Mobile Based Education platform	Jaipur
10086098	Consumer Internet	Mobile balance Checking App	Gurgaon
10086920	Technology	"TV Search, Guide and Remote mobile app"	Bangalore
10087485	Technology	Hotel Management Solution	Kolkata
10087744	Technology	Real time data analytics & reporting	Bangalore
10087746	ECommerce	Kids Focused eTailer	Pune
10088190	Finance	Online Lending	Ahmedabad
10088433	Consumer Internet	Online travel agent marketplace	Noida
10088696	Finance	Online Lending	Ahmedabad
10089023	Consumer Internet	Two Wheeler Taxi Service	Gurgaon
10089134	Consumer Internet	Deal Discovery App	Bangalore
10089616	Technology	Decision Sciences Analytics Solutions	Bangalore
10089943	Technology	IoT Based Energy Monitoring & Control	Gurgaon
10090103	E-commerce	Food and Beverages	Bengaluru
10091005	Technology	Next Generation in-building connectivity	Bangalore
10091238	Consumer Internet	Online Education Portal	Gurgaon
10092282	Consumer Internet	Dating & Singles Chat Platform	Mumbai
10092403	Technology	TV to Mobile audience Platform	Gurgaon
10092471	Consumer Internet	peer-to-peer renting Marketplace	Bangalore
10092878	Technology	"TV Search, Guide and Remote mobile app"	Bangalore
10093222	Consumer Internet	Photo Sharing for Groups	Bangalore
10093246	Consumer Internet	Online insurance policy aggregator	Noida
10093937	Consumer Internet	Curated Platform for Developers	Hyderabad
10094519	Consumer Internet	Live Online Coaching Classes	New Delhi
10094574	Technology	Expense Management Solution	Bangalore
10094916	Consumer Internet	Budget Accomodation Aggregator	New Delhi
10097014	Technology	TV to Mobile audience Platform	Gurgaon
10097308	Consumer Internet	Mobile balance Checking App	Gurgaon
10098051	Consumer Internet	Party Hall Booking platform	Bangalore
10098245	Consumer Internet	Party Hall Booking platform	Bangalore
10098487	ECommerce	B2B Marketplace for Distributors	Mumbai
10098488	Consumer Internet	P2P Messaging Service	New Delhi
10098601	Technology	Medical Devices	Surat
10098940	Consumer Internet	Train PNR Status Prediction Platform	Bangalore
10099880	Logistics	Online freight aggregator	Bangalore
10100096	Technology	"TV Search, Guide and Remote mobile app"	Bangalore
10100341	Consumer Internet	Mobile app based Job Search	Noida
10101570	Technology	Medical Automation platform	Bangalore
10101735	ECommerce	Online Jewellery etailer	Bangalore
10102520	Consumer Internet	Online Travel/Hotel Booking platform	Gurgaon
10102521	Technology	Data Analytics platform	New Delhi
10104559	ECommerce	Adult Products Etailers	New Delhi / US
10104644	ECommerce	Online/ Mobile Jewellery Retailer	Bangalore
10105383	Consumer Internet	Budget Accomodation Aggregator	New Delhi
10105994	Consumer Internet	Coupon & Cashback platform	Gurgaon
10106752	ECommerce	ECommerce Marketplace	Gurgaon
10107315	FMCG	Vegetables & Fruits Supply Chain	Mumbai
10107430	Consumer Internet	Automobile Classifieds Portal	Mumbai
10107955	Consumer Internet	Casual Gaming platform	New Delhi
10108059	ECommerce	Online/ Mobile Jewellery Retailer	Bangalore
10108089	ECommerce	Construction Material ETailer	Gurgaon
10108754	Consumer Internet	Dating & Singles Chat Platform	Mumbai
10109570	ECommerce	Online Pet Store	Gurgaon
10110048	Technology	"Sales, Market, Distribution & Data Analytics Platform"	Bangalore
10110125	Consumer Internet	Coupon & Cashback platform	Gurgaon
10110365	Technology	Financial Technology Research Platform	Bangalore
10110536	Consumer Internet	Hobby & Activity Class Aggregator	Mumbai
10110587	Real Estate	Branded Workspaces Aggregator	Gurgaon
10110872	Consumer Internet	Online Counselling Platform	Mumbai
10112523	Consumer Internet	"Online Travel, Adventure & Activities Portal"	Bangalore
10112646			
10113661	Consumer Internet	SAAS DIY? ECommerce Platform	New Delhi
10113665	Healthcare	Salons & Spa Chain	Gurgaon
10113819	Consumer Internet	Carpooling Mobile App	Gurgaon
10113835	Consumer Internet	Online Food Ordering & Delivery Portal	Gurgaon
10114516	Technology	IoT Based Energy Monitoring & Control	Gurgaon
10114603	Consumer Internet	Instant Content Transfer Mobile App	Mumbai
10114697	Consumer Internet	Ride Sharing platform	Bangalore
10115595	Consumer Internet	Visual Search & Image Recognition Platform	Bangalore
10115607	Consumer Internet	healthcare aggregator platform	Mumbai
10115933	Technology	Medical Devices	Surat
10116161	Healthcare	Weigh Loss Coaching	Mumbai
10116333	Technology	Electronic Payments Solution Company	Mumbai
10116356	Healthcare	Women Hygiene Product Manufacturer	Mumbai
10117338	Consumer Internet	Crowd Funding Platform	New Delhi
10117791	Consumer Internet	B2B Mobile App for Pharmacies	Mumbai
10117882	Technology	TV to Mobile audience Platform	Gurgaon
10117885	ECommerce	Last Minute Hotel Bookings mobile marketplace	Bangalore
10118121	ECommerce	Construction Material Marketplace	Bangalore
10118309	Consumer Internet	Visual Search & Image Recognition Platform	Bangalore
10118686	Consumer Internet	Online Furniture Customization platform	Bangalore
10119148	Consumer Internet	Indians focused Matchmaking App	Bangalore
10120038	Consumer Internet	Mobile Advertising App	Noida
10120177	Education	Children Education & Information platform	Gurgaon
10120178	Consumer Internet	On Demand Cleaning Services Mobile App	Mumbai
10120269	Technology	Medical Devices	Surat
10120515	Technology	Data Intelligence & Analytics	Hyderabad
10121662			
10121733	Consumer Internet	Mortgage Offering Platform	Gurgaon
10121924	Consumer Internet	Online Fitness & Educational information Aggregator	Jodhpur
10122863	Technology	Local language Mobile OS	Mumbai
10123426	Consumer Internet	Cloud Mobility Solutions	Mumbai
10123723	Consumer Internet	Auto Classifieds Portal	Mumbai
10124681	Healthcare	Professional Health Services Platform	Mumbai
10125245	Consumer Internet	Food Delivery Platform	Hyderabad
10125327	E-commerce	Retail	Delhi
10125723	Technology	IoT Based Energy Monitoring & Control	Gurgaon
10126657	Technology	Local language Mobile OS	Mumbai
10126749	Consumer Internet	Mobile app based Job Search	Noida
10128105	Consumer Internet	Online insurance policy aggregator	Noida
10128808	Consumer Internet	Fitness related Social Networking App & Forum	Gurgaon
10128912	Consumer Internet	SME Online Buying Hub	Gurgaon
10130594	Finance	Online Lending	Ahmedabad
10130914	eCommerce	Online Marketplace	Bangalore
10130954	Technology	TV to Mobile audience Platform	Gurgaon
10130995			
10131712	Consumer Internet	Visual Search & Image Recognition Platform	Bangalore
10132010	Consumer Internet	Online match-making app	Bangalore
10133005	FMCG	Vegetables & Fruits Supply Chain	Mumbai
10133461	Real Estate	Branded Workspaces Aggregator	Gurgaon
10135068	Consumer Internet	healthcare aggregator platform	Mumbai
10135091	Healthcare	Healthcare Product Manufacturer	Bangalore
10135650	Consumer Internet	Deal Discovery App	Bangalore
10135656	Technology	Data Intelligence & Analytics	Hyderabad
10136254	Healthcare	Women Hygiene Product Manufacturer	Mumbai
10136767	Technology	Data Intelligence & Analytics	Hyderabad
10137847	Consumer Internet	On Demand Laundry & Dry Cleaning Services	Chennai
10138328	ECommerce	Last Minute Hotel Bookings mobile marketplace	Bangalore
10138828	Consumer Internet	on-demand concierge services	Gurgaon
10139144	ECommerce	Adult Products Etailers	New Delhi / US
10139679	Consumer Internet	SAAS DIY? ECommerce Platform	New Delhi
10140467	Entertainment	Digital Entertainment for Children	Mumbai
10140905	Consumer Internet	Automobile Classifieds Portal	Mumbai
10141379	ECommerce	Online Fashion Apparel Retailer	Gurgaon
10141749	Technology	Online Tutorial Marketplace	Bangalore
10141904	Education	School Student admissions platform	New Delhi
10142695	Consumer Internet	Online Fitness & Educational information Aggregator	Jodhpur
10142999	Technology	Aadhaar-based API provider	Pune
10143351	Technology	Smartphone OS Developer	Bangalore
10143558	Consumer Internet	Tech Enabler for Artists	Mumbai
10144281	Food & Beverage	Craft Beer manufacturing company	New Delhi
10144324	Consumer Internet	Co-Living Spaces Aggregator	Bangalore
10144491	Consumer Internet	on-demand concierge services	Gurgaon
10144668	Consumer Internet	Educational College Search platform	New Delhi
10145846	Finance	Social Business Incubator & Fund	Chennai
10146402	Consumer Internet	Food Ordering Mobile App	Hyderabad
10146689	ECommerce	Mobile based Retail Market Ecosystem	Bangalore
10146778	Consumer Internet	peer-to-peer renting Marketplace	Bangalore
10147100	Education	Career Planning and Education Advisory Platform	Mumbai
10147419	Consumer Internet	Train PNR Status Prediction Platform	Bangalore
10147446	Consumer Internet	Mobile based Referral Platform	Mumbai
10148394	ECommerce	Online platform for Higher Education Services	New Delhi
10149139	Consumer Internet	Online Real Estate Portal	Mumbai
10149476	Consumer Internet	SME Online Buying Hub	Gurgaon
10149728	Logistics	Online freight aggregator	Bangalore
10150202	Education	Mobile Based Education platform	Jaipur
10150442	Education	College Education Portal	New Delhi
10150592	Consumer Internet	Visual Search & Image Recognition Platform	Bangalore
10150946	Consumer Internet	Personal Finance Mobile App	Bangalore
10150966	Technology	Connected Smart Home Solutions	Bangalore
10151261	Consumer Internet	Online Fitness & Educational information Aggregator	Jodhpur
10151367	Consumer Internet	Online insurance policy aggregator	Noida
10151491	ECommerce	Online Jewellery etailer	Bangalore
10151575	Consumer Internet	Instant Content Transfer Mobile App	Mumbai
10152168	Healthcare	Healthcare Product Manufacturer	Bangalore
10152682	ECommerce	Women Fashion Portal	Bangalore
10152874	Consumer Internet	Educational College Search platform	New Delhi
10153444	ECommerce	Last Minute Hotel Bookings mobile marketplace	Bangalore
10154313	Technology	Hotel Management Solution	Kolkata
10154574	ECommerce	ECommerce Marketplace	Gurgaon
10155093	Healthcare	Medical Tourism platform	Pune
10155097	Consumer Internet	Co-Working Space Platform	New Delhi
10155367	Technology	Aadhaar-based API provider	Pune
10155743	E-commerce	Retail	Delhi
10155765	ECommerce	Online/ Mobile Jewellery Retailer	Bangalore
10155946	Technology	Electronic Payments Solution Company	Mumbai
10155966	Consumer Internet	Photo Sharing for Groups	Bangalore
10157341	Consumer Internet	Online lending platform	Bangalore
10157359	Technology	Decision Sciences Analytics Solutions	Bangalore
10157446	Consumer Internet	Social Network for Healthcare Professionals	Ahmedabad
10157819	Consumer Internet	Mobile app based Job Search	Noida
10158015	Consumer Internet	Online Furniture Customization platform	Bangalore
10158267	Consumer Internet	Online Food Ordering & Delivery Portal	Gurgaon
10158966	Technology	Customer Engagement Platform	New Delhi
10159388	Consumer Internet	Auto Classifieds Portal	Mumbai
10160685	Consumer Internet	Smart Parking Platform	New Delhi
10161135	Consumer Internet	Automobile Service Booking App	Bangalore
10161403	Consumer Internet	Online Real Estate Portal	Mumbai
10163862	Consumer Internet	Coupon & Cashback platform	Gurgaon
10163950	Technology	Customer Engagement Platform	New Delhi
10164221	Technology	Coding Skill Showcase & Resume Builder	Hyderabad
10164897	Consumer Internet	Parenting Mobile App	New Delhi
10165078	FMCG	Vegetables & Fruits Supply Chain	Mumbai
10165340	Consumer Internet	Train PNR Status Prediction Platform	Bangalore
10165578	ECommerce	B2B Marketplace for Distributors	Mumbai
10165602	Consumer Internet	Party Hall Booking platform	Bangalore
10165837	Consumer Internet	Photo Sharing for Groups	Bangalore
10166237	ECommerce	Women Fashion Portal	Bangalore
10166398	Consumer Internet	Visual Search & Image Recognition Platform	Bangalore
10166464	ECommerce	Online Grocery Store	Bangalore
10166839	Consumer Internet	Online travel agent marketplace	Noida
10167963	Consumer Internet	Auto Classifieds Portal	Mumbai
10168392	Consumer Internet	Dating & Singles Chat Platform	Mumbai
10168450	Consumer Internet	Mobile based Geo-target Fashion Marketplace	Mumbai
10169423	Technology	"Sales, Market, Distribution & Data Analytics Platform"	Bangalore
10169860			
10170294	Consumer Internet	Online insurance policy aggregator	Noida
10171083	Consumer Internet	Casual Gaming platform	New Delhi
10171284	Healthcare	Professional Health Services Platform	Mumbai
10171708	Consumer Internet	Bitcoin Buying & Selling Mobile App	Ahmedabad
10171817	ECommerce	Home D?cor Product etailer	New Delhi
10171891	Technology	Aadhaar-based API provider	Pune
10171973	Consumer Internet	Online Counselling Platform	Mumbai
10171997	Consumer Internet	Online travel agent marketplace	Noida
10172028	Consumer Internet	healthcare aggregator platform	Mumbai
10172058	ECommerce	Online Jewellery etailer	Bangalore
10172233	ECommerce	B2B Marketplace for Distributors	Mumbai
10172561	ECommerce	Online Rental Marketplace	Bangalore
10173114	Consumer Internet	Cloud Mobility Solutions	Mumbai
10173445	Consumer Internet	Online Counselling Platform	Mumbai
10173808	ECommerce	Online Rental Marketplace	Bangalore
10174878	Consumer Internet	Live Online Coaching Classes	New Delhi
10174975	Consumer Internet	Deal Discovery App	Bangalore
10175720	Consumer Internet	Personal Finance Mobile App	Bangalore
10176112	ECommerce	Online Fashion Apparel Retailer	Gurgaon
10176636	E-commerce	Food and Beverages	Bengaluru
10176990	Consumer Internet	On Demand Cleaning Services Mobile App	Mumbai
10177979	Technology	Medical Automation platform	Bangalore
10178184	Consumer Internet	Budget Accomodation Aggregator	New Delhi
10178222	Healthcare	Medical Tourism platform	Pune
10178712			
10179144	Consumer Internet	DIY event registration and ticketing portal	Pune
10179744	Consumer Internet	P2P Messaging Service	New Delhi
10179810	Technology	Data Intelligence & Analytics	Hyderabad
10180516	Technology	Decision Sciences Analytics Solutions	Bangalore
10181191	Consumer Internet	Train PNR Status Prediction Platform	Bangalore
10181455	Consumer Internet	Ride Sharing platform	Bangalore
10181598	Consumer Internet	Online travel agent marketplace	Noida
10181778			
10182240	Technology	IoT Based Energy Monitoring & Control	Gurgaon
10182496	ECommerce	Online Jewellery etailer	Bangalore
10183969	Consumer Internet	Live Online Coaching Classes	New Delhi
10184547	eCommerce	Solution provider for pet needs	Mumbai
10184668	Logistics	Online freight aggregator	Bangalore
10184722	Education	School Student admissions platform	New Delhi
10185117	Consumer Internet	Online insurance policy aggregator	Noida
10185132	Consumer Internet	Hindi Language Social Networking Portal	Kanpur
10185225	Education	Child Disorder Information & Education	Bhopal
10185421	Technology	Next Generation in-building connectivity	Bangalore
10185505	Consumer Internet	Ride Sharing platform	Bangalore
10186621	Consumer Internet	On Demand Cleaning Services Mobile App	Mumbai
10187049	Education	Mobile Based Education platform	Jaipur
10187852	Consumer Internet	Visual Search & Image Recognition Platform	Bangalore
10188185	Technology	TV to Mobile audience Platform	Gurgaon
10188233	eCommerce	Online Marketplace	Bangalore
10188964	Consumer Internet	Mobile app based Concierge Service	New Delhi
