id,Year_of_Start,Empl_Cnt_Y1,InvestmentType,Invest_1st_Q_S,Industry_Vertical,SubVertical,City,OperationalDimension,IndustryPerformance,CompetitiveLandscape,CustomerDimension,MarketDimension,ManamgementDimension,StrategicDimenision,FinanceDimension,HRDimension,status
10572498,2016,Above 25,Angel / Seed Funding,5 Crore and Above,ECommerce,Online platform for Higher Education Services,New Delhi,5.0,Low,Low,5.0,5.0,8,7,9.0,5.0,0.0
10163950,2013,10-25,Debt Funding,2 - 5 Crores,Technology,Customer Engagement Platform,New Delhi,5.0,Medium,Low,6.0,5.0,8,9,9.0,6.0,0.0
10807150,2015,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Online travel agent marketplace,Noida,5.0,Medium,Medium,8.0,8.0,9,9,7.0,7.0,0.0
10389457,2015,10-25,Private Equity,1 - 2 Crores,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,5.0,Medium,Medium,8.0,5.0,7,9,9.0,6.0,0.0
10743341,2012,Above 25,Angel / Seed Funding,5 Crore and Above,Technology,IoT Based Energy Monitoring & Control,Gurgaon,7.0,Medium,Low,7.0,7.0,7,9,6.0,7.0,0.0
10549245,2016,Above 25,Debt Funding,5 Crore and Above,Technology,Real time data analytics & reporting,Bangalore,6.0,Medium,Medium,8.0,7.0,8,7,9.0,8.0,0.0
10093937,2015,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Curated Platform for Developers,Hyderabad,7.0,Medium,Low,5.0,8.0,8,8,7.0,6.0,0.0
10015956,2015,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Online lending platform,Bangalore,6.0,High,Medium,7.0,6.0,7,9,9.0,5.0,0.0
10154313,2015,Above 25,Angel / Seed Funding,5 Crore and Above,Technology,Hotel Management Solution,Kolkata,7.0,Low,Medium,7.0,6.0,7,7,9.0,6.0,0.0
10352555,2016,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Online Counselling Platform,Mumbai,6.0,Low,Medium,6.0,5.0,8,7,7.0,6.0,0.0
10727801,2012,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Online travel agent marketplace,Noida,6.0,High,Low,8.0,7.0,7,9,8.0,5.0,0.0
10271898,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,5.0,Low,Low,5.0,7.0,9,9,9.0,7.0,0.0
10628339,2012,Above 25,Private Equity,5 Crore and Above,Technology,IoT Based Energy Monitoring & Control,Gurgaon,6.0,Low,Low,6.0,5.0,6,9,9.0,7.0,0.0
10344238,2013,Below 10,Private Equity,60-80 Lacs,Consumer Internet,Automobile Classifieds Portal,Mumbai,6.0,High,Low,8.0,6.0,9,9,6.0,5.0,0.0
10308699,2015,Above 25,Private Equity,5 Crore and Above,Technology,Car Rental Software Solutions,Noida,6.0,High,Medium,5.0,6.0,6,7,7.0,6.0,0.0
10091238,2012,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Online Education Portal,Gurgaon,5.0,High,Medium,6.0,5.0,8,7,8.0,6.0,0.0
10416925,2012,Above 25,Private Equity,5 Crore and Above,ECommerce,Women Apparel & Lifestyle etailer,Bangalore,6.0,Low,Low,7.0,5.0,8,7,8.0,7.0,0.0
10488690,2013,Above 25,Angel / Seed Funding,5 Crore and Above,Finance,Startup Crowd-funding platform,Mumbai,5.0,Low,Medium,5.0,5.0,7,8,8.0,8.0,0.0
10054081,2012,Above 25,Debt Funding,5 Crore and Above,ECommerce,Women Fashion Portal,Bangalore,6.0,Medium,Low,5.0,8.0,9,8,7.0,6.0,0.0
10269441,2013,Below 10,Seed/Angel Funding,40-60 Lacs,ECommerce,Online Food Delivery Platform,Bangalore,7.0,Medium,Low,7.0,6.0,6,9,7.0,5.0,0.0
10636486,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Tech Enabler for Artists,Mumbai,6.0,Medium,Medium,6.0,7.0,9,7,8.0,5.0,0.0
10545349,2015,Above 25,Private Equity,5 Crore and Above,Technology,Medical Automation platform,Bangalore,7.0,High,Medium,6.0,6.0,6,8,8.0,6.0,0.0
10042248,2016,10-25,Private Equity,1 - 2 Crores,Technology,Decision Sciences Analytics Solutions,Bangalore,7.0,Low,Low,6.0,8.0,6,8,9.0,6.0,0.0
10759477,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,7.0,Low,Low,8.0,5.0,8,7,8.0,7.0,0.0
10691443,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Mortgage Offering Platform,Gurgaon,6.0,Low,Low,7.0,8.0,8,9,6.0,5.0,0.0
10405567,2014,10-25,Angel / Seed Funding,2 - 5 Crores,Consumer Internet,Parenting Mobile App,New Delhi,5.0,Low,Low,5.0,6.0,8,7,7.0,7.0,0.0
10094574,2014,Above 25,Debt Funding,5 Crore and Above,Technology,Expense Management Solution,Bangalore,5.0,High,Low,6.0,8.0,6,7,7.0,6.0,0.0
10280627,2013,10-25,Seed/Angel Funding,1 - 2 Crores,Consumer Internet,Online Bike & Car Services provider,Chennai,7.0,High,Low,6.0,5.0,9,9,8.0,7.0,0.0
10837476,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Online Payment Gateway,Mumbai,7.0,Low,Low,5.0,5.0,7,7,9.0,6.0,0.0
10622787,2012,10-25,Angel / Seed Funding,2 - 5 Crores,Technology,Data Analytics platform,New Delhi,7.0,Low,Low,5.0,8.0,9,7,8.0,8.0,0.0
10281426,2012,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Co-Working Space Platform,New Delhi,7.0,High,Low,7.0,8.0,8,8,6.0,5.0,0.0
10300532,2015,Above 25,Seed/Angel Funding,5 Crore and Above,Technology,Decision Sciences Analytics Solutions,Bangalore,6.0,High,Low,6.0,8.0,7,7,8.0,8.0,0.0
10453014,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,7.0,Low,Low,7.0,6.0,6,7,9.0,7.0,0.0
10582418,2012,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Mortgage Offering Platform,Gurgaon,6.0,High,Low,6.0,6.0,8,7,8.0,5.0,0.0
10567734,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Parenting Mobile App,New Delhi,6.0,Low,Low,7.0,5.0,8,7,6.0,5.0,0.0
10791953,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Online match-making app,Bangalore,5.0,Medium,Low,8.0,8.0,8,9,7.0,8.0,0.0
10070628,2012,Above 25,Private Equity,5 Crore and Above,Consumer Internet,DIY event registration and ticketing portal,Pune,5.0,Medium,Low,6.0,7.0,8,8,9.0,8.0,0.0
10348880,2013,Above 25,Private Equity,5 Crore and Above,eCommerce,Solution provider for pet needs,Mumbai,6.0,High,Low,7.0,7.0,8,9,9.0,6.0,0.0
10777822,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,First Aid care app,Gurgaon,6.0,High,Low,5.0,8.0,7,8,7.0,6.0,0.0
10959920,2015,Below 10,Private Equity,60-80 Lacs,eCommerce,Online Marketplace,Bangalore,6.0,High,Medium,6.0,5.0,8,9,6.0,8.0,0.0
10680055,2013,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Mobile balance Checking App,Gurgaon,7.0,Medium,Low,5.0,7.0,9,8,7.0,8.0,0.0
10952907,2015,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Photo Sharing for Groups,Bangalore,5.0,Medium,Low,5.0,7.0,9,8,7.0,6.0,0.0
10396675,2013,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Smart Parking Platform,New Delhi,7.0,Medium,Low,8.0,7.0,8,7,7.0,7.0,0.0
10427012,2013,Above 25,Private Equity,5 Crore and Above,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,5.0,High,Low,6.0,5.0,7,8,9.0,8.0,0.0
10844364,2016,Below 10,Angel / Seed Funding,40-60 Lacs,Consumer Internet,Mobile Advertising App,Noida,6.0,High,Low,7.0,5.0,7,9,9.0,8.0,0.0
10316450,2012,10-25,Seed/Angel Funding,2 - 5 Crores,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,6.0,Medium,Low,7.0,7.0,8,7,8.0,8.0,0.0
10237610,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,5.0,Medium,Low,6.0,8.0,7,9,7.0,6.0,0.0
10487157,2014,Above 25,Private Equity,5 Crore and Above,ECommerce,Online Jewellery etailer,Bangalore,5.0,High,Low,5.0,7.0,9,7,9.0,7.0,0.0
10989816,2013,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Live Online Coaching Classes,New Delhi,5.0,Low,Low,6.0,8.0,8,9,7.0,6.0,0.0
10649462,2016,Above 25,Private Equity,5 Crore and Above,Logistics,Online freight aggregator,Bangalore,5.0,Low,High,8.0,8.0,6,8,6.0,5.0,0.0
10034835,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,On Demand Cleaning Services Mobile App,Mumbai,7.0,Low,High,6.0,6.0,7,7,7.0,6.0,0.0
10257220,2012,Above 25,Private Equity,5 Crore and Above,ECommerce,Online Pet Store,Gurgaon,7.0,Low,High,6.0,5.0,6,9,7.0,8.0,0.0
10843973,2014,10-25,Private Equity,1 - 2 Crores,Education,College Education Portal,New Delhi,6.0,Low,High,7.0,6.0,7,8,9.0,5.0,0.0
10144281,2012,Below 10,Private Equity,40-60 Lacs,Food & Beverage,Craft Beer manufacturing company,New Delhi,6.0,High,High,5.0,5.0,8,7,6.0,8.0,0.0
10904802,2016,10-25,Private Equity,2 - 5 Crores,Food & Beverage,Healthy food manufacturing & sales startup,Ahmedabad,7.0,High,High,7.0,5.0,6,8,9.0,7.0,0.0
10653527,2016,Above 25,Private Equity,5 Crore and Above,Education,Child Disorder Information & Education,Bhopal,7.0,Low,High,7.0,5.0,7,7,9.0,8.0,0.0
10511173,2014,Above 25,Debt Funding,5 Crore and Above,ECommerce,B2B Procurement Marketplace for Office Products,Noida,7.0,High,Medium,6.0,7.0,6,9,8.0,7.0,0.0
10114697,2013,10-25,Seed/Angel Funding,2 - 5 Crores,Consumer Internet,Ride Sharing platform,Bangalore,7.0,Low,Low,6.0,5.0,7,9,9.0,6.0,0.0
10173114,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Cloud Mobility Solutions,Mumbai,6.0,High,Medium,8.0,8.0,6,9,9.0,8.0,0.0
10791816,2015,Above 25,Angel / Seed Funding,5 Crore and Above,,,,7.0,High,Medium,8.0,7.0,6,7,6.0,7.0,0.0
10775827,2015,Above 25,Seed/Angel Funding,5 Crore and Above,BFSI,Startup Funding Deal Discovery & Execution platform,Bangalore,6.0,Medium,Low,6.0,7.0,9,8,8.0,6.0,0.0
10842905,2013,Above 25,Private Equity,5 Crore and Above,Real Estate,Branded Workspaces Aggregator,Gurgaon,6.0,High,Medium,6.0,7.0,8,7,7.0,5.0,0.0
10258713,2013,Above 25,Private Equity,5 Crore and Above,Technology,"TV Search, Guide and Remote mobile app",Bangalore,6.0,Medium,Low,8.0,8.0,9,7,8.0,8.0,0.0
10070187,2014,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,7.0,High,Medium,6.0,7.0,7,8,6.0,7.0,0.0
10516968,2012,Above 25,Private Equity,5 Crore and Above,Healthcare,Medical Tourism platform,Pune,7.0,High,Low,8.0,8.0,7,7,9.0,7.0,0.0
10112646,2016,Above 25,,5 Crore and Above,,,,5.0,High,Low,5.0,7.0,6,7,8.0,6.0,0.0
10443956,2016,Below 10,Seed/Angel Funding,40-60 Lacs,Education,Children Education & Information platform,Gurgaon,5.0,High,Medium,5.0,8.0,8,8,8.0,8.0,0.0
10711669,2013,10-25,Private Equity,2 - 5 Crores,Education,School Student admissions platform,New Delhi,6.0,High,Low,7.0,6.0,8,8,6.0,8.0,0.0
10782173,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Automobile Service Booking App,Bangalore,7.0,Medium,Low,7.0,8.0,8,9,6.0,7.0,0.0
10565597,2012,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Two Wheeler Taxi Service,Gurgaon,5.0,High,Medium,8.0,8.0,8,9,7.0,8.0,0.0
10222119,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Online Furniture Customization platform,Bangalore,7.0,Medium,Low,6.0,7.0,9,8,9.0,7.0,0.0
10401655,2012,10-25,Private Equity,2 - 5 Crores,Education,Mobile Based Education platform,Jaipur,6.0,Medium,Low,5.0,8.0,9,7,9.0,6.0,0.0
10493096,2014,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,6.0,High,Low,7.0,6.0,9,8,8.0,8.0,0.0
10104644,2012,10-25,Debt Funding,2 - 5 Crores,ECommerce,Online/ Mobile Jewellery Retailer,Bangalore,5.0,High,Low,7.0,6.0,6,8,8.0,6.0,0.0
10596048,2012,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,5.0,Medium,Low,6.0,5.0,8,8,8.0,8.0,0.0
10761083,2016,Above 25,Private Equity,5 Crore and Above,Education,Career Planning and Education Advisory Platform,Mumbai,5.0,High,Low,8.0,8.0,9,9,7.0,8.0,0.0
10268384,2013,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,5.0,Low,Low,5.0,6.0,9,9,8.0,8.0,0.0
10273555,2013,10-25,Debt Funding,2 - 5 Crores,ECommerce,Organic Food eTailer,Bangalore,7.0,Low,Low,8.0,6.0,9,7,9.0,6.0,0.0
10590228,2014,10-25,Seed/Angel Funding,2 - 5 Crores,ECommerce,Online Fashion Apparel Retailer,Gurgaon,7.0,Low,Low,5.0,6.0,6,7,6.0,5.0,0.0
10787424,2014,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Mobile app based Concierge Service,New Delhi,7.0,Low,Low,8.0,6.0,6,7,8.0,8.0,0.0
10665198,2015,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,5.0,High,Low,7.0,7.0,6,7,6.0,6.0,0.0
10385127,2013,10-25,Seed/Angel Funding,1 - 2 Crores,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,6.0,High,Low,5.0,7.0,9,8,9.0,5.0,0.0
10805200,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,6.0,Low,Low,8.0,6.0,9,9,8.0,7.0,0.0
10516749,2014,10-25,Private Equity,2 - 5 Crores,ECommerce,ECommerce Marketplace,Gurgaon,5.0,High,Medium,8.0,6.0,8,7,9.0,6.0,0.0
10924380,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,P2P Messaging Service,New Delhi,7.0,Low,Low,6.0,5.0,7,8,9.0,6.0,0.0
10388664,2013,Above 25,Private Equity,5 Crore and Above,Technology,Next Generation in-building connectivity,Bangalore,6.0,High,Medium,7.0,8.0,8,9,8.0,8.0,0.0
10085699,2012,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Mobile based Referral Platform,Mumbai,6.0,Medium,Low,6.0,5.0,9,8,6.0,8.0,0.0
10531630,2013,Below 10,Private Equity,40-60 Lacs,Consumer Internet,Auto Classifieds Portal,Mumbai,6.0,High,Medium,7.0,5.0,6,9,6.0,7.0,0.0
10413231,2015,10-25,Debt Funding,2 - 5 Crores,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,7.0,High,Medium,8.0,6.0,9,8,6.0,6.0,0.0
10499063,2014,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,inter-city cab aggregator,New Delhi,5.0,High,Medium,5.0,5.0,8,8,7.0,8.0,0.0
10706025,2012,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Food Ordering Mobile App,Hyderabad,7.0,High,Medium,7.0,7.0,8,7,8.0,6.0,0.0
10763672,2016,Above 25,Angel / Seed Funding,5 Crore and Above,Healthcare,Professional Health Services Platform,Mumbai,7.0,Low,Medium,7.0,6.0,6,8,6.0,7.0,0.0
10509855,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Healthcare,Weigh Loss Coaching,Mumbai,6.0,Medium,Medium,5.0,7.0,8,8,7.0,7.0,0.0
10115595,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,7.0,High,Low,8.0,7.0,9,9,8.0,7.0,0.0
10864734,2016,Above 25,Private Equity,5 Crore and Above,ECommerce,Construction Material Marketplace,Bangalore,6.0,Low,Low,7.0,6.0,8,8,7.0,6.0,0.0
10409740,2015,Above 25,,,Consumer Internet,Carpooling Mobile App,Gurgaon,6.0,Medium,Low,8.0,6.0,6,7,9.0,8.0,0.0
10188185,2012,Above 25,Private Equity,5 Crore and Above,Technology,TV to Mobile audience Platform,Gurgaon,7.0,High,Low,5.0,5.0,6,7,9.0,8.0,0.0
10645349,2013,Above 25,Private Equity,5 Crore and Above,Healthcare,Healthcare Product Manufacturer,Bangalore,7.0,High,Medium,6.0,6.0,8,7,6.0,6.0,0.0
10058635,2014,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,6.0,High,Medium,7.0,6.0,7,9,9.0,7.0,0.0
10068374,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Party Hall Booking platform,Bangalore,5.0,High,Low,7.0,6.0,9,8,6.0,6.0,0.0
10115607,2015,10-25,Private Equity,1 - 2 Crores,Consumer Internet,healthcare aggregator platform,Mumbai,6.0,High,Medium,6.0,7.0,9,8,9.0,8.0,0.0
10157819,2012,Below 10,Angel / Seed Funding,40-60 Lacs,Consumer Internet,Mobile app based Job Search,Noida,6.0,High,Low,5.0,7.0,6,8,6.0,5.0,0.0
10752592,2014,Below 10,Seed/Angel Funding,80-100 Lacs,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,7.0,Low,Low,6.0,5.0,9,9,6.0,5.0,0.0
10108754,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Dating & Singles Chat Platform,Mumbai,6.0,Low,Medium,5.0,7.0,6,9,9.0,6.0,0.0
10468870,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,SAAS DIY? ECommerce Platform,New Delhi,7.0,Low,Medium,5.0,6.0,6,7,9.0,5.0,0.0
10021694,2016,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Online/Mobile food ordering platform,Bangalore,5.0,Low,Medium,5.0,8.0,9,9,9.0,5.0,0.0
10801308,2013,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Parenting Social Network,Bangalore,7.0,Low,Low,7.0,6.0,6,8,9.0,7.0,0.0
10822905,2016,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Coupon & Cashback platform,Gurgaon,7.0,Low,Medium,8.0,8.0,9,7,7.0,7.0,0.0
10235164,2016,Above 25,Debt Funding,5 Crore and Above,Consumer Internet,Casual Gaming platform,New Delhi,7.0,Low,Low,7.0,7.0,8,8,8.0,7.0,0.0
10966686,2016,Above 25,Seed/Angel Funding,5 Crore and Above,ECommerce,Mobile Accessories etailer,New Delhi,5.0,Medium,Low,6.0,7.0,9,8,8.0,6.0,0.0
10042289,2014,10-25,Private Equity,2 - 5 Crores,Technology,Local language Mobile OS,Mumbai,6.0,Medium,Medium,6.0,6.0,8,9,7.0,7.0,0.0
10199679,2015,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Educational College Search platform,New Delhi,7.0,Medium,Medium,8.0,5.0,9,8,7.0,7.0,0.0
10789162,2013,Above 25,Seed/Angel Funding,5 Crore and Above,Finance,Social Business Incubator & Fund,Chennai,5.0,Medium,Low,5.0,6.0,9,9,6.0,6.0,0.0
10105383,2014,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Budget Accomodation Aggregator,New Delhi,5.0,Medium,Medium,5.0,7.0,8,7,7.0,7.0,0.0
10216923,2014,Above 25,Private Equity,5 Crore and Above,ECommerce,B2B Industrial Goods Marketplace,New Delhi,5.0,Medium,Low,7.0,7.0,7,8,8.0,8.0,0.0
10608588,2015,Above 25,Private Equity,5 Crore and Above,ECommerce,B2B Marketplace for Distributors,Mumbai,5.0,High,Medium,7.0,7.0,6,9,6.0,8.0,0.0
10430728,2016,Above 25,Private Equity,5 Crore and Above,ECommerce,Adult Products Etailers,New Delhi / US,5.0,Low,Medium,6.0,7.0,6,9,8.0,5.0,0.0
10784679,2013,10-25,Private Equity,2 - 5 Crores,Consumer Internet,Social Meeting organizer App,Mumbai / UK,5.0,Low,Medium,5.0,5.0,6,8,9.0,7.0,0.0
10785469,2012,Above 25,Debt Funding,5 Crore and Above,Healthcare,Women Hygiene Product Manufacturer,Mumbai,6.0,High,Low,7.0,6.0,9,9,7.0,7.0,0.0
10944508,2015,10-25,Seed/Angel Funding,1 - 2 Crores,ECommerce,Kids Focused eTailer,Pune,6.0,Low,Low,8.0,8.0,8,8,6.0,5.0,0.0
10906632,2012,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Personal Finance Mobile App,Bangalore,7.0,Low,Low,6.0,6.0,8,8,6.0,8.0,0.0
10709203,2014,Above 25,Angel / Seed Funding,5 Crore and Above,Consumer Internet,Online insurance policy aggregator,Noida,7.0,High,Low,5.0,5.0,6,9,6.0,6.0,0.0
10161403,2016,Above 25,Seed/Angel Funding,5 Crore and Above,Consumer Internet,Online Real Estate Portal,Mumbai,7.0,High,Medium,8.0,7.0,6,9,6.0,8.0,0.0
10960965,2013,10-25,Private Equity,2 - 5 Crores,Technology,Smartphone OS Developer,Bangalore,5.0,High,Medium,7.0,8.0,8,9,6.0,5.0,0.0
10751595,2016,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,5.0,Low,Low,7.0,6.0,8,8,7.0,6.0,0.0
10957820,2014,10-25,Private Equity,1 - 2 Crores,Consumer Internet,Deal Discovery App,Bangalore,6.0,Medium,High,6.0,7.0,7,7,6.0,5.0,1.0
10327653,2016,Above 25,Private Equity,5 Crore and Above,ECommerce,Mobile based Retail Market Ecosystem,Bangalore,7.0,Low,High,4.0,7.0,6,6,5.0,5.0,1.0
10822003,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,on-demand concierge services,Gurgaon,6.0,Low,High,4.0,7.0,6,7,7.0,5.0,1.0
10481804,2016,10-25,Debt Funding,1 - 2 Crores,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,6.0,Low,High,6.0,4.0,5,6,5.0,6.0,1.0
10637778,2014,Above 25,Seed/Angel Funding,5 Crore and Above,Technology,Home Automation & Security Solutions,Bangalore,6.0,Low,High,7.0,4.0,6,7,7.0,3.0,0.0
10335040,2014,10-25,Private Equity,1 - 2 Crores,Technology,Electronic Payments Solution Company,Mumbai,6.0,Medium,High,7.0,7.0,5,7,7.0,5.0,0.0
10933381,2014,Above 25,Angel / Seed Funding,5 Crore and Above,Technology,Enterprise Cloud Based Data Processing,Bangalore,6.0,High,High,6.0,6.0,7,6,6.0,6.0,0.0
10836223,2015,10-25,Seed/Angel Funding,1 - 2 Crores,Healthcare,Salons & Spa Chain,Gurgaon,5.0,Medium,High,7.0,6.0,4,6,7.0,6.0,0.0
10270516,2015,Above 25,Private Equity,5 Crore and Above,Consumer Internet,Photography curation & Aggregator platform,Mumbai,5.0,High,High,6.0,6.0,7,5,6.0,3.0,0.0
10005409,2015,10-25,Private Equity,2 - 5 Crores,Consumer Internet,SME Online Buying Hub,Gurgaon,7.0,Low,High,7.0,7.0,5,8,6.0,6.0,0.0
10495245,2015,10-25,Private Equity,2 - 5 Crores,ECommerce,Home D?cor Product etailer,New Delhi,5.0,Low,High,6.0,6.0,7,5,5.0,3.0,0.0
10871067,2016,10-25,Private Equity,2 - 5 Crores,ECommerce,Specialty Tea ETailer,Siliguri,6.0,Low,High,7.0,5.0,6,6,7.0,4.0,0.0
10359211,2016,Above 25,Private Equity,5 Crore and Above,ECommerce,Construction Material ETailer,Gurgaon,6.0,Low,High,4.0,6.0,7,8,6.0,5.0,0.0
10612045,2016,Above 25,Debt Funding,5 Crore and Above,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,5.0,Low,High,4.0,5.0,7,6,5.0,3.0,0.0
