Not_Closed_List_id Closed_List_id
10502077 10714917
10845870 10130594
10294357 10456887
10832745 10516271
10655978 10937984
10942078 10501775
10844424 10453886
10501454 10389635
10471790 10815048
10062525 10487797
10531578 10661675
10178222 10317386
10786995 10047977
10314284 10808153
10382196 10939052
10270418 10148394
10879352 10158966
10763816 10166839
10889834 10488146
10260289 10052077
10732622 10257676
10625032 10809139
10334172 10502600
10880818 10592121
10567077 10171973
10011814 10847428
10569654 10721853
10397935 10712076
10285314 10107430
10400424 10516001
10685741 10321220
10358992 10043401
10577104 10703470
10918127 10254309
10172233 10722261
10665175 10377423
10259913 10177979
10045709 10157359
10611725 10500779
10740478 10244756
10982422 10783007
10556561 10930969
10945629 10330359
10586741 10334855
10908102 10714915
10146689 10008253
10891466 10476166
10846271 10292019
10647271 10888623
10423261 10410127
10349201 10132010
10150202 10046884
10253736 10461272
10582537 10312773
10203684 10523085
10969572 10410430
10060483 10324279
10390846 10234996
10534233 10775194
10277766 10981212
10799528 10254346
10396918 10818006
10879279 10588745
10779033 10193623
10972368 10992538
10085993 10457964
10059136 10875410
10167963 10210294
10146778 10933646
10285168 10685875
10086017 10699530
10879719 10376540
10350251 10482409
10972920 10396339
10785436 10848410
10564620 10202569
10696536 10563704
10007777 10667361
10256227 10995858
10780515 10060496
10337112 10178712
10415699 10711305
10907056 10350370
10240168 10040682
10823192 10476245
10337837 10601038
10398537 10683339
10331622 10175720
10915847 10356583
10600483 10459029
10427918 10478756
10670010 10063187
10796902 10562846
10818842 10884227
10085747 10923839
10766481 10902147
10665013 10704574
10473747 10015744
10710047 10800147
10580148 10082243
10519552 10798604
10063864 10245468
10777037 10876838
10027859 10187852
10583547 10750531
10634098 10660411
10554785 10359913
10057696 10869648
10917263 10968277
10020490 10729678
10367344 10355005
10715253 10613493
10799355 10659948
10212753 10270990
10340173 10113661
10451781 10575581
10744030 10660582
10825880 10672816
10953820 10281773
10038918 10723284
10774573 10126657
10803185 10729107
10978139 10490838
10911574 10959896
10739322 10455176
10959420 10377458
10622867 10139144
10901957 10554759
10352023 10116356
10567540 10037903
10487655 10683655
10949963 10441849
10906770 10795147
10738280 10012137
10176112 10911891
10407282 10987637
10343923 10971485
10285232 10861053
10116161 10792920
10533125 10965491
10113819 10435375
10533491 10330733
10152168 10547642
10979932 10339133
10268533 10075443
10807127 10295213
10952622 10583588
10618080 10752350
10412124 10064168
10729271 10712651
10773915 10990609
10958405 10573374
10768166 10088696
10538843 10426535
10412246 10819607
10678644 10888604
10818945 10015525
10660243 10120269
10615227 10760028
10290949 10447715
10420193 10310806
10104559 10360303
10367742 10355626
10136254 10253188
10641865 10274051
10870475 10761786
10666698 10049564
10818206 10832414
10143351 10295937
10998641 10553969
10089134 10125723
10469423 10797705
10053632 10497072
10335685 10384372
10975432 10908074
10013606 10550251
10383528 10740900
10438879 10541638
10957481 10754733
10224929 10866334
10719645 10590535
10201554 10705659
10893856 10859109
10165340 10059704
10572742 10271683
10930899 10232594
10565890 10614381
10821425 10828219
10520656 10597738
10948244 10996035
10138328 10450438
10722016 10593324
10376773 10480971
10334338 10952041
10388635 10922112
10493578 10668878
10796025 10189534
10716620 10020299
10478530 10228578
10971645 10067720
10380623 10100341
10765348 10748581
10858968 10168392
10697262 10139679
10356114 10854135
10097014 10203631
10764657 10959798
10261097 10470096
10660723 10352249
10172028 10247682
10597597 10255721
10737575 10530393
10765788 10765950
10418273 10478413
10191600 10763756
10529234 10850887
10110125 10910260
10925484 10550989
10032511 10617281
10033807 10766839
10152874 10060267
10856895 10967562
10664373 10679674
10789976 10901704
10535910 10572518
10128912 10055027
10253236 10045756
10922486 10425071
10890627 10696961
10970661 10442899
10953023 10323329
10201200 10530977
10193259 10544567
10682641 10518958
10875984 10931378
10302369 10829102
10082532 10185117
10788986 10220171
10826910 10417420
10015487 10703253
10834590 10599126
10509681 10284441
10125245 10144491
10343629 10345414
10464682 10925633
10963452 10668591
10683363 10452468
10812707 10113665
10634438 10040142
10832579 10590077
10343561 10568701
10317227 10993576
10155966 10562953
10982226 10110048
10117791 10173808
10120038 10303677
10627729 10246555
10326626 10331424
10172058 10563741
10068357 10994678
10473421 10463454
10186621 10283518
10890339 10119148
10625761 10961182
10715345 10271375
10242232 10061041
10003296 10629106
10042207 10489096
10349655 10288525
10958735 10451799
10378959 10365450
10453704 10242951
10133461 10307380
10100096 10049843
10402158 10237320
10723988 10907081
10273445 10492585
10813183 10710858
10388174 10062315
10373235 10456138
10936359 10995348
10352974 10288550
10804315 10622909
10008765 10999445
10155765 10307279
10147419 10713800
10050681 10324420
10762295 10758577
10040625 10648425
10593297 10463969
10273034 10378721
10709447 10571237
10447176 10315867
10784343 10364660
10154574 10949767
10535910 10967317
10791078 10379860
10797157 10743485
10779428 10513839
10589372 10859933
10532837 10457545
10577697 10628687
10573471 10249859
10545119 10310347
10358230 10863639
10295418 10663485
10780339 10886391
10583692 10961760
10304498 10933359
10075139 10435997
10116333 10535862
10076342 10512568
10137847 10608494
10659452 10657980
10359364 10987560
10753174 10470780
10042741 10876962
10711979 10774509
10506208 10861943
10656814 10482143
10515742 10185505
10741491 10418135
10005203 10130995
10314614 10301849
10851904 10809694
10370063 10888778
10113835 10690481
10523857 10405621
10528454 10280785
10184668 10120177
10532851 10943018
10868158 10411030
10566004 10084265
10786107 10571727
10263602 10340882
10185225 10955374
10471620 10656699
10181455 10466367
10637316 10147100
10750187 10485992
10495511 10533515
10110587 10429667
10761852 10649171
10760105 10538363
10944103 10521474
10879935 10168450
10770693 10047214
10587170 10957537
10383873 10556158
10043661 10704679
10778634 10403090
10780701 10092471
10562134 10829708
10596254 10738278
10321967 10536313
10450290 10427579
10875116 10435053
10475476 10927241
10371051 10034229
10416084 10424620
10000274 10028712
10959853 10055120
10279114 10098051
10487357 10830305
10798561 10973816
10766521 10085495
10327390 10816273
10234847 10735244
10219055 10054050
10563052 10542958
10435109 10304951
10210167 10214999
10340434 10979880
10221879 10699989
10257236 10327497
10054217 10639185
10488619 10195524
10556921 10627008
10530926 10239855
10347474 10867863
10490693 10966044
10035357 10013131
10622781 10509472
10122863 10150946
10013896 10629334
10583243 10423322
10178184 10734357
10352744 10949600
10266464 10404533
10537854 10312950
10521560 10051271
10359653 10399950
10087746 10803050
10057853 10750108
10858181 10563056
10827930 10744651
10357970 10098601
10836941 10061499
10632904 10963157
10587451 10048923
10950462 10477751
10394330 10082191
10463501 10076735
10516458 10000865
10760294 10277252
10572816 10845847
10150966 10196028
10851906 10543981
10046035 10347556
10048162 10491091
10883513 10164897
10232175 10350962
10209798 10292095
10586414 10272997
10937543 10221101
10647514 10130914
10950934 10097308
10651418 10439587
10985948 10965638
10144324 10649404
10966444 10909116
10981147 10578409
10195298 10784629
10974242 10441447
10012774 10174878
10695277 10298090
10626442 10272030
10329564 10452352
10715355 10895121
10020265 10960852
10151491 10272733
10183969 10892184
10743907 10377174
10351345 10060236
10709560 10377630
10276347 10530403
10083694 10683737
10576911 10576179
10761480 10237795
10617148 10625792
10315812 10926282
10907861 10185421
10659011 10672916
10765144 10052164
10260872 10067369
10822063 10730268
10345186 10926434
10610610 10383270
10515036 10681415
10926436 10482480
10187049 10025841
10859088 10463224
10855313 10998003
10274663 10458637
10368161 10043051
10355766 10825446
10804584 10135068
10546542 10194712
10869535 10487119
10790164 10009749
10262269 10957281
10408040 10739718
10663753 10474570
10123723 10667420
10778068 10589366
10602775 10993803
10307724 10910327
10214634 10996955
10377651 10085368
10131712 10458950
10200658 10942482
10443205 10427157
10396583 10197895
10523344 10426401
10490951 10200632
10004300 10891407
10980631 10163862
10989666 10556554
10047644 10684558
10960162 10243838
10045005 10908196
10013815 10306136
10759063 10094916
10079815 10510772
10925181 10098487
10112523 10917455
10689546 10447407
10532306 10444428
10643434 10497210
10345878 10511202
10733751 10128105
10859801 10986026
10818931 10236307
10483875 10033416
10530184 10076984
10388647 10554759
10772839 10989806
10022029 10751217
10747815 10734546
10685246 10020583
10541346 10524989
10431202 10417063
10485468 10983971
10905348 10039638
10875517 10674470
10599986 10526656
10272590 10317579
10329044 10988035
10764031 10469257
10272410 10136767
10527271 10165078
10622710 10619157
10502322 10622256
10555991 10768124
10653342 10151261
10527556 10408316
10219293 10991126
10896425 10538690
10932050 10820102
10184547 10172561
10010667 10120515
10599044 10697730
10933625 10975001
10672239 10254466
10262211 10657168
10350348 10377259
10479230 10963861
10679608 10282811
10158267 10217597
10182496 10789943
10669683 10053733
10099880 10992311
10120178 10411012
10902637 10259741
10150442 10652757
10247781 10090103
10722304 10960753
10817952 10509937
10602686 10639352
10506666 10691865
10123426 10483280
10169860 10030396
10084571 10522852
10336311 10141749
10559389 10887627
10317913 10216297
10968803 10816884
10675586 10882574
10191525 10044673
10982682 10942065
10602820 10917987
10281663 10422487
10583799 10040590
10769486 10009435
10672635 10689073
10643544 10045493
10343950 10792999
10948718 10540671
10780050 10157341
10504516 10701772
10558086 10730857
10188964 10181598
10884615 10045329
10403371 10213272
10943470 10140905
10511549 10682532
10425892 10600166
10656631 10980926
10147446 10680003
10159388 10152682
10624914 10551775
10695707 10023032
10789879 10816452
10449086 10372928
10722177 10888405
10150592 10305080
10727802 10753512
10361235 10872749
10221733 10534502
10883980 10560450
10128808 10945361
10473725 10809820
10961205 10473029
10004423 10997568
10151575 10982381
10395392 10358804
10793587 10871729
10544537 10322887
10747667 10259746
10815297 10379269
10171083 10640883
10901223 10737226
10949491 10808477
10755730 10952508
10593030 10821478
10305140 10064118
10496681 10458787
10693488 10335050
10619624 10035988
10628773 10595071
10961579 10468439
10808162 10196436
10531687 10191296
10890517 10995291
10368250 10518219
10301296 10355746
10496296 10202126
10135650 10883097
10212739 10930970
10927698 10896228
10477511 10121662
10260000 10026135
10201066 10655284
10024622 10374538
10378658 10821606
10307224 10456682
10151367 10576500
10149139 10000369
10084462 10146402
10185132 10171284
10913997 10514787
10501444 10982892
10943226 10718859
10771375 10943117
10028884 10685056
10938100 10310483
10602948 10309744
10621390 10098245
10389730 10821834
10314802 10881046
10029385 10114603
10634760 10051315
10306614 10717642
10264582 10053347
10975106 10993241
10533402 10893370
10194616 10833506
10673010 10818492
10971078 10666440
10857636 10635832
10321856 10061037
10028088 10421854
10342534 10438938
10029721 10622411
10700440 10986461
10582380 10738190
10367898 10231730
10240716 10563235
10211292 10976020
10453248 10820163
10810609 10061569
10634801 10607414
10091005 10410260
10679416 10577136
10058874 10500682
10065370 10448243
10604678 10731166
10432876 10912901
10633775 10900811
10680445 10775707
10831487 10600814
10786526 10142695
10642776 10815791
10130954 10478647
10365608 10800648
10921095 10813273
10972858 10955253
10628466 10403844
10648831 10691799
10898674 10547285
10822669 10579034
10419794 10819381
10013707 10316104
10507506 10115933
10206784 10738728
10107955 10496132
10461364 10038683
10612762 10031983
10996772 10195437
10145846 10199262
10936410 10874112
10345212 10653165
10165578 10686165
10315054 10580355
10562950 10471997
10229171 10612041
10235943 10752249
10566916 10669277
10170294 10680364
10008890 10858736
10459596 10890685
10974423 10693342
10599967 10195332
10264470 10893223
10505642 10647945
10060660 10994485
10642326 10945834
10155946 10547385
10571999 10850217
10487560 10805290
10463923 10276495
10373036 10125327
10771404 10345394
10303590 10659879
10718321 10638864
10629046 10476530
10465121 10768848
10903010 10017878
10340444 10768762
10598241 10530461
10034587 10762956
10775889 10800980
10258659 10288528
10228491 10682985
10321520 10537031
10040547 10451571
10565629 10289594
10588074 10436923
10385906 10907029
10421986 10848854
10892916 10894157
10517427 10988159
10923774 10516107
10742176 10411422
10088190 10582525
10023197 10453466
10489616 10921777
10977049 10929900
10155367 10353048
10893240 10102521
10646451 10793642
10007003 10042043
10484690 10626001
10932569 10503445
10785018 10639792
10979827 10942718
10335588 10637828
10088433 10355856
10520708 10158015
10644814 10335835
10079297 10534849
10814957 10108059
10344629 10513046
10730689 10308896
10321125 10693166
10838493 10919810
10299359 10041091
10386155 10534738
10306681 10750174
10241719 10220240
10450029 10587880
10255501 10645565
10370378 10477492
10027634 10398977
10787397 10000485
10896472 10514184
10533658 10455190
10809211 10050083
10357881 10233059
10873597 10439491
10736370 10703575
10851580 10280691
10004933 10231317
10141379 10190774
10199615 10843161
10706616 10963794
10041551
10969930
10871945
10784036
10461573
10463680
10469645
10939396
10642402
10651898
10705145
10365295
10695070
10040863
10263264
10995838
10149476
10906657
10698411
10283610
10169423
10646785
10302017
10079107
10230724
10531156
10327655
10583489
10788253
10811077
10610008
10289777
10248529
10077226
10549784
10110536
10313956
10868552
10258195
10382508
10783041
10965736
10593667
10237752
10586935
10872420
10256203
10674482
10848100
10305811
10335599
10149728
10389295
10591676
10797363
10753896
10648336
10080812
10579532
10917881
10257316
10411647
10071160
10609954
10225688
10171708
10429609
10810703
10667916
10225761
10161135
10089023
10242512
10713704
10102520
10432460
10040783
10925559
10228754
10307396
10324836
10399653
10864149
10704651
10827743
10823020
10683260
10582618
10320799
10356922
10806931
10736245
10673862
10028631
10008548
10118309
10827224
10959122
10918162
10135091
10455219
10472213
10963088
10806556
10705251
10452437
10934148
10658991
10235031
10805535
10720564
10666058
10317923
10764650
10028604
10181191
10365446
10614193
10961923
10262828
10502699
10890080
10519613
10521256
10964064
10179744
10080385
10441336
10227733
10784269
10767357
10484628
10014547
10998764
10541320
10875908
10358462
10619343
10333098
10625989
10852674
10189963
10398315
10829497
10557162
10729876
10371883
10059092
10105994
10492169
10951553
10726175
10442916
10738478
10878854
10573790
10768896
10946187
10832705
10063214
10958913
10664206
10225716
10294347
10518073
10238322
10981402
10660884
10425656
10860768
10791932
10069231
10744763
10927445
10949413
10928214
10060663
10218028
10971629
10814061
10379690
10530247
10917672
10457433
10748916
10576350
10121924
10978353
10898271
10225073
10867835
10871982
10788038
10275177
10694609
10737142
10717157
10945926
10839997
10450643
10388731
10268455
10421772
10160685
10670705
10860808
10959527
10996112
10101735
10094519
10267466
10461801
10390746
10260208
10051549
10061511
10639555
10012819
10554687
10324132
10181778
10827486
10648131
10583203
10040969
10790874
10582701
10852260
10384302
10681936
10698925
10962278
10395150
10394266
10030646
10753539
10309307
10684066
10581975
10687084
10011964
10617732
10410006
10478959
10076124
10271763
10905636
10650666
10071880
10844971
10015717
10954432
10579577
10321851
10642706
10650569
10093246
10063350
10360103
10205425
10950327
10492007
10521108
10663757
10466268
10053829
10923899
10470464
10559798
10747480
10477114
10384708
10893922
10934512
10585826
10731939
10620945
10887422
10086920
10825854
10958493
10764623
10931701
10715790
10353524
10409887
10287904
10770247
10316107
10085276
10398019
10707326
10934260
10811292
10288361
10086049
10235128
10893944
10322717
10705270
10815292
10515222
10867048
10799548
10287995
10117885
10814647
10925988
10979647
10176636
10878738
10803528
10346637
10856488
10626260
10538941
10317276
10594356
10171891
10522347
10872664
10044571
10641324
10087744
10320300
10673155
10590442
10567849
10081753
10969206
10057840
10408385
10051373
10581410
10110872
10171997
10009467
10089943
10027707
10769446
10682625
10813491
10234827
10420871
10569830
10365114
10447967
10591816
10926322
10802555
10213488
10700848
10828350
10971776
10497244
10278225
10180516
10569918
10525551
10038795
10020163
10623822
10839400
10691854
10250955
10417566
10948702
10281189
10286158
10195105
10992110
10698437
10064357
10636102
10052261
10453358
10363351
10542042
10444400
10142999
10166464
10493107
10567283
10508492
10478544
10110365
10336390
10725629
10904769
10650941
10114516
10364895
10406907
10268341
10874991
10709758
10740779
10407193
10630619
10881508
10983976
10166237
10312447
10009660
10616199
10593762
10254420
10179144
10398536
10603466
10323714
10761183
10882499
10619918
10870503
10082600
10522640
10539345
10003883
10412721
10203867
10561628
10589616
10293884
10321507
10411907
10735583
10499597
10896774
10021921
10744604
10534642
10481662
10972557
10689188
10925096
10599807
10496662
10919782
10292804
10910408
10184722
10989322
10831927
10118686
10404797
10012726
10406222
10997222
10629024
10245105
10287501
10106752
10098488
10457698
10720147
10223114
10535162
