id Year_of_Start Empl_Cnt_Y1
10086017 2015 "Above 25"
10879719 2016 "Above 25"
10350251 2014 "Above 25"
10972920 2015 10-25
10785436 2012 "Above 25"
10564620 2014 "Above 25"
10696536 2012 10-25
10007777 2013 10-25
10256227 2014 "Above 25"
10780515 2016 "Above 25"
10337112 2013 "Above 25"
10415699 2012 "Above 25"
10907056 2015 "Above 25"
10240168 2014 "Above 25"
10823192 2014 "Above 25"
10337837 2016 10-25
10398537 2012 "Above 25"
10331622 2014 10-25
10915847 2013 "Above 25"
10600483 2012 "Above 25"
10427918 2013 "Above 25"
10670010 2013 "Above 25"
10796902 2014 10-25
10818842 2016 "Above 25"
10085747 2012 10-25
10766481 2013 "Above 25"
10665013 2015 "Above 25"
10473747 2012 "Above 25"
10710047 2014 "Above 25"
10580148 2014 10-25
10519552 2015 "Above 25"
10063864 2012 "Above 25"
10777037 2012 "Above 25"
10027859 2012 "Above 25"
10583547 2016 10-25
10634098 2013 "Above 25"
10554785 2013 "Above 25"
10057696 2014 10-25
10917263 2013 "Above 25"
10020490 2013 10-25
10367344 2015 "Above 25"
10715253 2012 "Above 25"
10799355 2016 "Above 25"
10212753 2015 10-25
10340173 2012 "Above 25"
10451781 2014 "Above 25"
10744030 2016 "Above 25"
10825880 2016 "Above 25"
10953820 2016 "Above 25"
10803430 2013 "Below 10"
10228066 2014 10-25
10107315 2014 10-25
10680166 2014 "Above 25"
10560289 2012 10-25
10117338 2014 "Above 25"
10038918 2016 "Above 25"
10774573 2015 "Above 25"
10803185 2015 "Above 25"
10978139 2012 "Above 25"
10911574 2013 10-25
10739322 2015 10-25
10959420 2012 "Above 25"
10622867 2016 "Below 10"
10901957 2012 "Above 25"
10352023 2012 "Above 25"
10567540 2013 "Above 25"
10487655 2016 "Above 25"
10949963 2016 "Above 25"
10906770 2013 "Above 25"
10738280 2013 "Above 25"
10176112 2015 "Above 25"
10407282 2013 "Below 10"
10683083 2014 "Above 25"
10153444 2013 10-25
10493263 2012 "Above 25"
10931677 2015 "Above 25"
10979573 2015 "Above 25"
10695693 2013 "Above 25"
10216483 2013 "Above 25"
10735146 2013 10-25
10657298 2014 "Above 25"
10251327 2016 "Above 25"
10343923 2016 "Above 25"
10285232 2015 "Above 25"
10116161 2014 "Below 10"
10533125 2015 "Above 25"
10083408 2012 10-25
10113819 2013 "Above 25"
10533491 2013 "Above 25"
10152168 2014 "Above 25"
10979932 2016 "Above 25"
10268533 2013 "Above 25"
10807127 2014 "Above 25"
10952622 2016 10-25
10618080 2016 "Above 25"
10412124 2013 "Above 25"
10729271 2014 "Above 25"
10773915 2016 10-25
10958405 2013 10-25
10768166 2016 "Above 25"
10538843 2015 "Above 25"
10412246 2015 "Above 25"
10678644 2013 "Above 25"
10818945 2015 "Above 25"
10660243 2013 10-25
10615227 2014 "Above 25"
10290949 2014 10-25
10420193 2016 "Below 10"
10104559 2013 "Above 25"
10367742 2013 10-25
10136254 2014 "Above 25"
10641865 2014 "Above 25"
10870475 2014 "Above 25"
10666698 2016 10-25
10818206 2013 "Above 25"
10143351 2013 10-25
10998641 2014 10-25
10089134 2016 "Above 25"
10469423 2015 "Above 25"
10053632 2015 10-25
10335685 2016 "Above 25"
10975432 2012 "Above 25"
10013606 2013 "Above 25"
10383528 2014 "Above 25"
10952691 2016 "Above 25"
10722204 2016 "Above 25"
10609717 2014 "Above 25"
10933133 2016 "Above 25"
10371340 2015 "Above 25"
10824367 2016 "Above 25"
10990291 2016 "Above 25"
10276539 2014 10-25
10179810 2015 "Above 25"
10017746 2016 10-25
10958355 2015 "Above 25"
10878435 2015 "Above 25"
10233848 2015 "Above 25"
10236091 2014 "Above 25"
10707778 2016 10-25
10318752 2014 "Above 25"
10284991 2015 10-25
10826615 2016 "Above 25"
10839766 2015 "Above 25"
10488225 2016 "Above 25"
10164221 2016 "Above 25"
10576090 2016 "Above 25"
10648584 2014 "Above 25"
10975400 2016 10-25
10714917 2015 10-25
10130594 2014 10-25
10456887 2014 10-25
10516271 2014 "Above 25"
10937984 2015 "Below 10"
10501775 2015 10-25
10453886 2014 "Above 25"
10389635 2015 "Below 10"
10815048 2016 "Above 25"
10487797 2014 10-25
10661675 2014 "Above 25"
10317386 2014 10-25
10047977 2016 "Above 25"
10808153 2014 10-25
10939052 2016 "Above 25"
10148394 2016 "Above 25"
10158966 2015 10-25
10166839 2014 "Above 25"
10488146 2014 "Above 25"
10052077 2015 "Above 25"
10257676 2014 "Above 25"
10809139 2014 "Above 25"
10502600 2014 10-25
10592121 2015 "Below 10"
10171973 2014 "Above 25"
10847428 2014 "Above 25"
10721853 2016 10-25
10712076 2014 10-25
10107430 2015 "Above 25"
10516001 2015 "Above 25"
10321220 2014 "Above 25"
10043401 2015 "Above 25"
10703470 2014 10-25
10254309 2015 10-25
10722261 2014 "Above 25"
10377423 2015 "Above 25"
10177979 2016 "Above 25"
10157359 2014 "Above 25"
10500779 2015 10-25
10244756 2015 10-25
10783007 2014 10-25
10930969 2014 "Above 25"
10330359 2015 10-25
10334855 2014 10-25
10714915 2014 "Above 25"
10008253 2015 10-25
10476166 2015 10-25
10292019 2016 "Above 25"
10888623 2015 "Above 25"
10410127 2015 10-25
10132010 2016 "Above 25"
10046884 2015 10-25
10461272 2014 10-25
10312773 2016 "Above 25"
10523085 2014 "Above 25"
10410430 2015 "Above 25"
10324279 2015 "Above 25"
10234996 2014 "Below 10"
10775194 2015 10-25
10981212 2014 "Above 25"
10254346 2015 "Above 25"
10818006 2014 "Above 25"
10588745 2016 "Above 25"
10193623 2015 10-25
10992538 2015 "Below 10"
10457964 2014 "Below 10"
10875410 2015 "Below 10"
10210294 2016 10-25
10933646 2014 "Above 25"
10685875 2015 10-25
10699530 2014 "Above 25"
10376540 2014 "Above 25"
10482409 2014 "Above 25"
10396339 2016 10-25
10848410 2016 "Above 25"
10202569 2015 "Above 25"
10563704 2015 "Above 25"
10667361 2014 "Above 25"
10995858 2014 "Above 25"
10060496 2015 "Above 25"
10178712 2015 "Above 25"
10711305 2016 "Above 25"
10350370 2016 "Above 25"
10438879 2014 "Above 25"
10957481 2013 "Above 25"
10224929 2012 "Above 25"
10719645 2012 "Above 25"
10201554 2015 "Above 25"
10893856 2015 "Above 25"
10165340 2014 10-25
10572742 2013 "Above 25"
10930899 2012 "Above 25"
10565890 2015 "Above 25"
10821425 2015 10-25
10520656 2016 "Above 25"
10948244 2012 "Above 25"
10138328 2016 "Above 25"
10722016 2012 "Above 25"
10376773 2013 "Below 10"
10334338 2012 10-25
10388635 2015 "Above 25"
10493578 2016 "Above 25"
10796025 2015 "Above 25"
10716620 2013 10-25
10478530 2012 10-25
10971645 2014 "Above 25"
10380623 2014 "Above 25"
10765348 2012 10-25
10858968 2014 10-25
10697262 2014 "Above 25"
10356114 2013 "Above 25"
10097014 2016 "Below 10"
10764657 2012 "Above 25"
10261097 2013 "Above 25"
10660723 2012 "Above 25"
10172028 2012 "Above 25"
10597597 2016 "Below 10"
10737575 2014 "Above 25"
10765788 2016 10-25
10418273 2014 "Above 25"
10191600 2012 "Above 25"
10529234 2012 "Above 25"
10110125 2014 "Above 25"
10925484 2015 "Above 25"
10032511 2016 "Above 25"
10033807 2012 "Above 25"
10152874 2013 "Above 25"
10856895 2016 "Above 25"
10664373 2012 "Above 25"
10789976 2016 "Above 25"
10535910 2012 10-25
10040682 2015 10-25
10476245 2016 "Above 25"
10601038 2012 "Above 25"
10683339 2015 "Above 25"
10175720 2012 10-25
10356583 2012 "Above 25"
10459029 2016 "Above 25"
10478756 2016 "Above 25"
10063187 2015 10-25
10562846 2014 "Above 25"
10884227 2013 "Above 25"
10923839 2016 "Above 25"
10902147 2015 "Above 25"
10704574 2013 "Above 25"
10015744 2016 "Above 25"
10800147 2013 "Above 25"
10082243 2014 10-25
10798604 2014 "Above 25"
10128912 2013 "Above 25"
10253236 2016 "Above 25"
10922486 2015 "Above 25"
10890627 2016 "Above 25"
10970661 2013 "Above 25"
10953023 2014 "Above 25"
10201200 2015 10-25
10193259 2015 "Above 25"
10682641 2014 "Above 25"
10875984 2016 10-25
10302369 2014 "Below 10"
10082532 2012 10-25
10788986 2013 "Above 25"
10826910 2012 "Above 25"
10015487 2016 10-25
10834590 2012 10-25
10509681 2013 "Above 25"
10125245 2016 "Above 25"
10343629 2016 "Above 25"
10464682 2015 10-25
10963452 2016 "Above 25"
10683363 2016 10-25
10812707 2015 10-25
10634438 2015 "Above 25"
10832579 2015 "Above 25"
10343561 2016 "Above 25"
10317227 2016 "Above 25"
10155966 2012 "Above 25"
10982226 2016 "Above 25"
10117791 2012 "Above 25"
10120038 2016 "Above 25"
10627729 2015 "Above 25"
10326626 2013 "Above 25"
10172058 2016 10-25
10068357 2014 10-25
10473421 2012 "Above 25"
10186621 2014 "Above 25"
10890339 2016 "Above 25"
10625761 2012 "Above 25"
10715345 2013 "Above 25"
10242232 2014 10-25
10003296 2012 "Above 25"
10042207 2015 "Above 25"
10349655 2015 "Below 10"
10958735 2016 "Above 25"
10378959 2012 10-25
10453704 2014 "Below 10"
10133461 2014 "Above 25"
10100096 2015 "Above 25"
10402158 2012 "Above 25"
10723988 2013 10-25
10273445 2014 "Above 25"
10813183 2012 "Above 25"
10388174 2013 "Above 25"
10373235 2013 "Above 25"
10936359 2013 10-25
10352974 2016 10-25
10804315 2013 "Above 25"
10008765 2013 "Above 25"
10155765 2016 "Above 25"
10147419 2016 "Above 25"
10050681 2015 "Above 25"
10762295 2016 10-25
10040625 2014 10-25
10593297 2013 10-25
10273034 2016 10-25
10709447 2014 "Above 25"
10447176 2014 10-25
10784343 2012 "Above 25"
10154574 2016 "Above 25"
10535910 2016 "Above 25"
10791078 2013 "Below 10"
10797157 2013 10-25
10779428 2015 "Above 25"
10589372 2015 "Above 25"
10532837 2014 "Above 25"
10577697 2015 "Above 25"
10245468 2016 "Above 25"
10876838 2014 "Above 25"
10187852 2016 "Above 25"
10750531 2015 10-25
10660411 2016 "Above 25"
10359913 2015 "Above 25"
10869648 2014 10-25
10968277 2016 "Above 25"
10729678 2016 10-25
10355005 2015 "Above 25"
10613493 2015 "Above 25"
10659948 2015 "Above 25"
10270990 2014 "Above 25"
10113661 2015 "Below 10"
10575581 2014 10-25
10660582 2016 "Above 25"
10672816 2016 "Above 25"
10281773 2015 "Above 25"
10723284 2015 "Above 25"
10126657 2016 10-25
10729107 2015 "Above 25"
10490838 2015 "Above 25"
10959896 2014 10-25
10455176 2016 "Above 25"
10377458 2015 "Above 25"
10139144 2015 "Above 25"
10554759 2015 10-25
10116356 2016 10-25
10037903 2014 "Above 25"
10683655 2016 10-25
10441849 2014 "Above 25"
10573471 2014 10-25
10545119 2015 10-25
10358230 2014 10-25
10295418 2015 "Above 25"
10780339 2014 "Above 25"
10583692 2016 10-25
10304498 2014 "Above 25"
10075139 2014 10-25
10116333 2016 10-25
10076342 2014 "Above 25"
10795147 2016 "Above 25"
10012137 2016 "Above 25"
10911891 2016 "Above 25"
10987637 2015 "Below 10"
10971485 2015 "Above 25"
10861053 2015 "Above 25"
10792920 2014 10-25
10965491 2015 "Above 25"
10435375 2014 "Above 25"
10330733 2014 10-25
10547642 2014 "Above 25"
10339133 2015 "Below 10"
10075443 2015 10-25
10295213 2016 10-25
10583588 2016 10-25
10752350 2015 10-25
10064168 2015 "Above 25"
10712651 2014 10-25
10990609 2014 10-25
10573374 2016 "Above 25"
10088696 2015 "Below 10"
10426535 2015 "Above 25"
10819607 2014 "Above 25"
10888604 2015 "Above 25"
10015525 2014 "Above 25"
10120269 2016 "Above 25"
10760028 2014 "Above 25"
10447715 2015 "Above 25"
10310806 2016 "Above 25"
10360303 2014 "Below 10"
10355626 2016 10-25
10253188 2015 10-25
10274051 2014 10-25
10761786 2015 "Above 25"
10049564 2015 "Above 25"
10832414 2014 "Above 25"
10295937 2016 "Above 25"
10553969 2014 "Above 25"
10125723 2015 "Above 25"
10797705 2014 10-25
10497072 2016 "Above 25"
10384372 2016 10-25
10908074 2015 10-25
10550251 2014 "Above 25"
10740900 2016 10-25
10541638 2016 10-25
10754733 2014 10-25
10866334 2015 "Above 25"
10590535 2016 "Above 25"
10705659 2016 "Above 25"
10859109 2016 10-25
10059704 2016 "Above 25"
10271683 2014 "Above 25"
10232594 2014 10-25
10614381 2016 "Above 25"
10828219 2016 "Above 25"
10597738 2015 "Above 25"
10996035 2016 "Above 25"
10450438 2016 "Above 25"
10593324 2014 "Above 25"
10480971 2016 10-25
10952041 2014 "Above 25"
10922112 2014 10-25
10668878 2014 "Above 25"
10189534 2016 "Above 25"
10020299 2016 "Above 25"
10137847 2012 "Above 25"
10659452 2016 "Above 25"
10359364 2016 "Above 25"
10753174 2012 10-25
10042741 2016 "Above 25"
10711979 2016 "Above 25"
10506208 2013 "Above 25"
10656814 2015 10-25
10515742 2015 "Above 25"
10741491 2012 10-25
10005203 2016 "Above 25"
10314614 2015 "Above 25"
10851904 2015 "Above 25"
10370063 2014 "Above 25"
10113835 2013 "Above 25"
10523857 2013 "Above 25"
10528454 2012 "Above 25"
10184668 2014 "Above 25"
10532851 2015 10-25
10868158 2016 "Below 10"
10566004 2013 "Above 25"
10786107 2014 "Above 25"
10263602 2015 10-25
10185225 2016 10-25
10471620 2015 "Above 25"
10181455 2014 10-25
10637316 2012 10-25
10750187 2012 "Above 25"
10495511 2012 "Above 25"
10110587 2012 10-25
10761852 2016 10-25
10760105 2016 "Above 25"
10944103 2012 "Above 25"
10879935 2013 10-25
10770693 2016 10-25
10587170 2014 "Above 25"
10383873 2014 10-25
10043661 2016 "Above 25"
10778634 2016 10-25
10780701 2016 10-25
10562134 2016 "Above 25"
10596254 2014 10-25
10321967 2013 10-25
10450290 2015 "Above 25"
10875116 2016 "Above 25"
10475476 2013 "Above 25"
10371051 2016 "Above 25"
10416084 2016 "Above 25"
10000274 2016 "Above 25"
10959853 2016 "Below 10"
10279114 2014 "Above 25"
10487357 2016 10-25
10798561 2012 "Above 25"
10766521 2016 "Above 25"
10327390 2013 10-25
10234847 2014 "Above 25"
10219055 2014 10-25
10563052 2015 10-25
10435109 2013 10-25
10210167 2016 "Above 25"
10340434 2013 "Below 10"
10221879 2016 "Above 25"
10257236 2012 "Above 25"
10054217 2014 "Above 25"
10488619 2012 10-25
